"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.importer.v3.message.Message",34,7,7,7,2,0,1,0,4
"br.com.trevisantecnologia.importer.dao.AgentTeamDao",34,4,3,6,6,3,2,5,0
"br.com.trevisantecnologia.importer.validator.business.builders.ServiceLocalActivityValidatorBuilder",34,2,0,2,11,7,1,8,4
"br.com.trevisantecnologia.importer.v3.message.Content",33,6,6,6,3,2,1,2,5
"br.com.trevisantecnologia.importer.service.ScheduleSituationService",33,6,5,6,9,3,0,4,1
"br.com.trevisantecnologia.importer.dao.AbstractHibernateCopyDAO",33,6,2,5,9,1,1,6,0
"br.com.trevisantecnologia.importer.converter.ItineraryExclusiveConverter",33,3,2,8,4,2,1,6,3
"br.com.trevisantecnologia.importer.v3.callback.CallbackConsumer",33,1,1,1,11,5,0,5,3
"br.com.trevisantecnologia.importer.core.ImportQueue",32,5,5,5,8,0,0,2,3
"br.com.trevisantecnologia.importer.service.GeocoderService",32,3,1,5,7,2,0,3,1
"br.com.trevisantecnologia.importer.dao.ScheduleActivityDao",32,3,3,5,7,3,1,5,0
"br.com.trevisantecnologia.importer.converter.LocalDateConverter",32,2,2,4,6,1,2,3,3
"br.com.trevisantecnologia.importer.validator.DateValidator",32,2,2,4,4,1,0,4,4
"br.com.trevisantecnologia.importer.cache.GenericCache",31,5,3,4,3,0,7,7,5
"br.com.trevisantecnologia.importer.service.journey.WeeklyWorkdayService",31,5,1,5,5,4,1,5,1
"br.com.trevisantecnologia.importer.dao.ServiceLocalTeamDao",31,2,2,4,6,2,1,5,0
"br.com.trevisantecnologia.importer.dao.PasswordHistoryDao",31,2,1,2,2,1,1,3,1
"br.com.trevisantecnologia.importer.dao.ServiceLocalItemDao",31,2,2,6,5,1,1,4,0
"br.com.trevisantecnologia.importer.service.TeamTypeService",30,5,1,7,5,4,0,6,1
"br.com.trevisantecnologia.importer.parser.Splitter",30,2,2,6,2,0,2,3,1
"br.com.trevisantecnologia.importer.dao.ItineraryAgentDao",30,2,2,4,6,2,1,5,0
"br.com.trevisantecnologia.importer.dao.ScheduleTypeActivityDao",30,2,2,4,5,1,1,3,0
"br.com.trevisantecnologia.importer.dao.ItineraryServiceLocalDao",30,2,2,4,5,1,2,4,0
"br.com.trevisantecnologia.importer.parser.FileToParseValidator",30,1,1,4,5,4,0,4,3
"br.com.trevisantecnologia.importer.email.EmailDispatcher",29,2,1,2,7,1,1,3,1
"br.com.trevisantecnologia.importer.dao.journey.WorkdayDao",29,2,2,2,7,3,1,5,0
"br.com.trevisantecnologia.importer.validator.business.rules.utils.ReferenceByAlternativeIdentifier",28,3,2,7,5,3,5,7,0
"br.com.trevisantecnologia.importer.dao.TeamDao",28,3,2,3,5,2,1,4,0
"br.com.trevisantecnologia.importer.converter.LocalDateTimeConverter",28,2,2,3,5,1,1,3,2
"br.com.trevisantecnologia.importer.dao.idiom.IdiomEntryDao",28,2,2,3,7,5,1,6,1
"br.com.trevisantecnologia.importer.v3.callback.LogError",27,6,6,6,2,0,1,2,2
"br.com.trevisantecnologia.importer.converter.LocalTimeConverter",27,2,2,4,6,1,1,3,2
"br.com.trevisantecnologia.importer.layout.LayoutMapper",26,6,6,6,3,3,4,3,2
"br.com.trevisantecnologia.importer.service.idiom.IdiomWrapper",26,3,3,4,4,2,1,3,2
"br.com.trevisantecnologia.importer.validator.CpfValidator",25,2,2,5,4,1,0,3,0
"br.com.trevisantecnologia.importer.validator.business.rules.agent.GeoLocationTimezone",25,2,1,10,6,4,0,6,1
"br.com.trevisantecnologia.importer.validator.CnpjValidator",25,2,2,5,4,1,0,3,0
"br.com.trevisantecnologia.importer.service.FieldSettingService",25,2,1,3,7,4,1,5,2
"br.com.trevisantecnologia.importer.dao.ItineraryDao",25,2,2,2,10,3,1,5,0
"br.com.trevisantecnologia.importer.interceptor.TransactionInterceptor",25,1,1,2,5,0,1,1,1
"br.com.trevisantecnologia.importer.v3.message.Header",24,5,5,5,2,0,1,0,3
"br.com.trevisantecnologia.importer.validator.business.rules.servicelocalactivity.MinimalExecutionInCicleValue",24,3,1,6,3,3,1,6,1
"br.com.trevisantecnologia.importer.i18n.MessageResolver",24,3,2,3,5,1,8,2,1
"br.com.trevisantecnologia.importer.converter.ModelConverter",24,2,2,3,3,2,1,7,0
"br.com.trevisantecnologia.importer.converter.ImportModelConverter",24,2,2,4,2,1,2,5,1
