"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.importer.layout.LayoutMapperResolver.getLayoutByService(List<ImportLayout> importLayouts, DefaultServiceMapping mappedService)",7,3,4,3,2
"br.com.trevisantecnologia.importer.service.ItineraryAgentService.findCurrentReference(ItineraryAgent itineraryActivity)",6,3,9,3,1
"br.com.trevisantecnologia.importer.service.ScheduleTypeActivityService.findCurrentReference(ScheduleTypeActivity instance)",6,3,5,3,1
"br.com.trevisantecnologia.importer.reflection.InstanceBuilder.getCustomFields(T instance)",6,3,3,3,1
"br.com.trevisantecnologia.importer.service.AgentActivityService.findCurrentReference(AgentActivity agentActivity)",5,3,9,3,1
"br.com.trevisantecnologia.importer.service.ServiceLocalActivityService.findCurrentReference(ServiceLocalActivity serviceLocalActivity)",5,3,9,3,1
"br.com.trevisantecnologia.importer.service.journey.WorkdayService.findCurrentReference(Workday workday)",4,3,3,3,1
"br.com.trevisantecnologia.importer.helper.EncodingHelper.detectEncoding(InputStream in)",20,3,10,2,1
"br.com.trevisantecnologia.importer.converter.LocalDateConverter.convert(Class<?> type, String value)",17,3,5,2,2
"br.com.trevisantecnologia.importer.parser.FileProcessorV2.processLine(ImportService<ImportModel> service, long lineNumber, String lineContent)",14,3,11,2,3
"br.com.trevisantecnologia.importer.dao.CustomFieldValueDao.getValuesToCopy(List<CustomFieldValue> customFieldValues)",13,3,19,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyServiceLocal(Schedule schedule)",12,3,10,2,1
"br.com.trevisantecnologia.importer.service.Timezones.isValidTimeZone(final String timeZone)",11,3,4,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.verifyAgent(Schedule schedule)",10,3,10,2,1
"br.com.trevisantecnologia.importer.model.Schedule.getActivitiesOriginList()",10,3,4,2,0
"br.com.trevisantecnologia.importer.converter.WeekdaysConverter.raiseAnExceptionIfItIsNotInformedSomeday(List<WeekdaysType> missigngDays)",9,3,8,2,1
"br.com.trevisantecnologia.importer.service.ScheduleService.validateDate(Schedule schedule)",8,3,8,2,1
"br.com.trevisantecnologia.importer.service.ServiceLocalItemService.beforeImport(ServiceLocalItem serviceLocalItem)",8,3,7,2,1
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper.getField(Class<?> clazz, String property)",8,3,5,2,2
"br.com.trevisantecnologia.importer.util.ShutdownSigner.readyToStop()",8,3,5,2,0
"br.com.trevisantecnologia.importer.service.ScheduleService.setActivityOriginList(Schedule schedule)",7,3,8,2,1
"br.com.trevisantecnologia.importer.service.ItineraryActivityService.findCurrentReference(ItineraryActivity itineraryActivity)",6,3,9,2,1
"br.com.trevisantecnologia.importer.service.ServiceLocalItemService.findCurrentReference(ServiceLocalItem serviceLocalItem)",6,3,9,2,1
"br.com.trevisantecnologia.importer.reflection.ReflectionHelper.getColumnName(Field field)",6,3,6,2,1
"br.com.trevisantecnologia.importer.context.ImportContext.addError(String message)",6,3,3,2,1
"br.com.trevisantecnologia.importer.model.Schedule.getTeamExecution()",6,3,2,2,0
"br.com.trevisantecnologia.importer.model.Schedule.thisCanceled()",4,3,3,2,0
"br.com.trevisantecnologia.importer.model.Schedule.thisRetrievedFromField()",4,3,3,2,0
"br.com.trevisantecnologia.importer.service.ItemService.beforeValidation(Item item)",15,3,9,1,1
"br.com.trevisantecnologia.importer.converter.ImportModelConverter.convert(Class<?> type, String value)",15,3,4,1,2
"br.com.trevisantecnologia.importer.dao.CustomFieldDao.findActiveByIdentifierAndEntity(CustomField customField)",14,3,19,1,1
"br.com.trevisantecnologia.importer.service.GeocoderService.resolveAddressGeocoordinate(GeocoderAdress geocoderAddress)",14,3,7,1,1
"br.com.trevisantecnologia.importer.validator.CnpjValidator.isValid(String value)",14,3,3,1,1
"br.com.trevisantecnologia.importer.validator.CpfValidator.isValid(String value)",14,3,3,1,1
"br.com.trevisantecnologia.importer.converter.LocalTimeConverter.convert(Class<?> type, String value)",13,3,6,1,2
"br.com.trevisantecnologia.importer.core.ImportTimeoutInspector.getTimeoutExceededTitle(ScheduleImport scheduleImport)",12,3,12,1,1
"br.com.trevisantecnologia.importer.service.MediaService.getMediaByUrl(Media media, String description, MediaType mediaType)",12,3,7,1,3
"br.com.trevisantecnologia.importer.service.AgentService.afterImport(Agent agent)",10,3,9,1,1
"br.com.trevisantecnologia.importer.v3.callback.ResultAggregate.getStatus()",10,3,0,1,0
