"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jfree.chart.renderer.category.CategoryItemRenderer",195,135,135,135,23,16,15,17,0,0.0
"org.jfree.chart.annotations.CategoryLineAnnotation",195,19,17,29,25,12,8,20,7,0.8492063492063492
"org.jfree.chart.renderer.xy.ClusteredXYBarRenderer",195,8,7,38,16,11,13,19,2,0.9285714285714286
"org.jfree.data.time.Second",194,19,19,40,6,1,34,6,8,0.8055555555555556
"org.jfree.data.general.TestIntervalCategoryDataset",193,28,28,43,7,5,9,13,2,0.9814814814814815
"org.jfree.chart.renderer.xy.XYLineAndShapeRendererTest",192,9,9,9,20,13,0,13,0,0.0
"org.jfree.chart.renderer.category.AreaRenderer",192,7,7,31,19,9,11,17,2,0.9166666666666666
"org.jfree.chart.renderer.xy.XYBubbleRenderer",192,7,7,31,17,9,12,17,5,0.6666666666666666
"org.jfree.data.time.Quarter",191,21,21,36,7,2,38,6,9,0.8
"org.jfree.data.time.Hour",189,23,23,37,6,1,44,6,7,0.8636363636363636
"org.jfree.chart.axis.AxisSpace",189,19,19,43,5,2,18,8,5,0.8888888888888888
"org.jfree.data.statistics.SimpleHistogramDataset",188,28,28,43,13,6,6,12,4,0.9444444444444444
"org.jfree.data.time.ohlc.OHLCSeriesCollection",186,28,27,41,11,8,10,12,2,0.9814814814814815
"org.jfree.data.xy.DefaultWindDataset",186,19,19,28,7,2,6,10,5,0.8888888888888888
"org.jfree.chart.renderer.xy.XYItemRenderer",183,132,132,132,25,17,37,18,0,0.0
"org.jfree.chart.renderer.category.BarRendererTest",183,9,9,9,23,13,0,13,0,0.0
"org.jfree.data.xy.IntervalXYDelegate",182,22,20,43,10,9,9,18,6,0.8809523809523809
"org.jfree.chart.axis.PeriodAxisTest",182,8,8,8,23,11,0,13,2,0.9285714285714286
"org.jfree.chart.plot.dial.StandardDialRange",181,22,20,34,15,5,6,11,7,0.8571428571428571
"org.jfree.chart.entity.ChartEntity",181,20,16,38,14,7,17,14,4,0.9210526315789473
"org.jfree.chart.util.AttrStringUtils",181,16,5,32,6,0,3,2,0,0.0
"org.jfree.chart.block.LabelBlock",180,22,20,36,22,10,12,18,10,0.7857142857142857
"org.jfree.chart.block.GridArrangementTest",179,19,18,19,7,3,0,4,1,1.0
"org.jfree.chart.renderer.LookupPaintScale",179,16,12,39,12,4,16,8,8,0.7666666666666667
"org.jfree.chart.renderer.category.LineAndShapeRendererTest",179,8,7,20,15,10,0,11,0,0.0
"org.jfree.chart.needle.MeterNeedle",178,26,22,41,17,4,9,9,9,0.8666666666666667
"org.jfree.data.time.Millisecond",178,18,18,35,5,0,32,2,9,0.7647058823529411
"org.jfree.data.xy.XIntervalSeriesTest",178,14,14,14,10,4,0,5,2,0.9615384615384616
"org.jfree.data.time.Day",177,22,22,29,10,2,105,4,8,0.8333333333333334
"org.jfree.chart.GanttChartTest",177,10,8,24,23,13,0,16,2,0.9444444444444444
"org.jfree.chart.renderer.category.StatisticalBarRendererTest",176,11,11,11,18,9,0,9,0,0.0
"org.jfree.chart.plot.dial.DialPlotTest",176,10,10,10,12,4,0,5,1,1.0
"org.jfree.chart.title.Title",175,22,16,36,17,7,13,12,11,0.774891774891775
"org.jfree.chart.date.SpreadsheetDate",175,20,19,38,2,0,3,3,5,0.8947368421052632
"org.jfree.chart.axis.LogAxisTest",175,12,12,12,17,8,0,8,1,1.0
"org.jfree.chart.renderer.category.CategoryStepRenderer",174,10,8,30,17,10,8,17,4,0.8333333333333334
"org.jfree.data.category.SlidingCategoryDatasetTest",174,9,9,9,8,3,0,4,0,0.0
"org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDatasetTest",174,9,9,9,9,4,0,5,1,1.0
"org.jfree.data.xy.XYIntervalSeriesTest",173,13,13,13,10,4,0,5,2,0.9583333333333334
"org.jfree.chart.annotations.XYPolygonAnnotation",171,13,11,30,24,10,15,16,5,0.8333333333333334
"org.jfree.chart.renderer.xy.SamplingXYLineRenderer",171,10,8,34,20,8,0,18,10,0.5
"org.jfree.data.KeyToGroupMap",170,13,11,34,13,3,13,13,4,0.875
"org.jfree.chart.renderer.xy.XYDotRenderer",169,13,11,30,20,11,8,18,4,0.875
"org.jfree.chart.renderer.xy.DeviationRenderer",168,13,11,41,17,9,7,15,3,0.9166666666666666
"org.jfree.chart.renderer.xy.XYStepRenderer",167,9,8,33,20,12,11,19,2,0.9375
"org.jfree.data.time.MovingAverage",165,6,6,32,4,4,0,6,0,0.0
"org.jfree.chart.axis.AxisTest",165,4,4,4,13,2,0,2,0,0.0
"org.jfree.chart.title.ImageTitle",164,11,9,29,11,5,0,10,1,1.0
"org.jfree.chart.plot.CombinedDomainXYPlotTest",164,10,7,10,22,12,0,14,1,1.1111111111111112
"org.jfree.data.statistics.DefaultStatisticalCategoryDatasetTest",163,11,11,11,10,4,0,5,1,1.0
"org.jfree.chart.renderer.xy.StandardXYItemRendererTest",163,7,7,7,23,13,0,14,0,0.0
"org.jfree.data.xy.VectorSeriesTest",162,12,12,12,10,4,0,5,2,0.9545454545454546
"org.jfree.data.xy.YIntervalSeriesTest",162,12,12,12,10,4,0,5,2,0.9545454545454546
"org.jfree.chart.plot.CombinedDomainCategoryPlotTest",162,9,8,9,20,12,0,14,1,1.125
"org.jfree.chart.plot.CombinedRangeCategoryPlotTest",162,9,8,9,20,12,0,14,1,1.125
