"type","dep","i-dep","fan-in","fan-out"
"org.jfree.data.xy.IntervalXYDelegate",10,9,9,18
"org.jfree.chart.axis.PeriodAxisTest",23,11,0,13
"org.jfree.chart.plot.dial.StandardDialRange",15,5,6,11
"org.jfree.chart.entity.ChartEntity",14,7,17,14
"org.jfree.chart.util.AttrStringUtils",6,0,3,2
"org.jfree.chart.block.LabelBlock",22,10,12,18
"org.jfree.chart.block.GridArrangementTest",7,3,0,4
"org.jfree.chart.renderer.LookupPaintScale",12,4,16,8
"org.jfree.chart.renderer.category.LineAndShapeRendererTest",15,10,0,11
"org.jfree.chart.needle.MeterNeedle",17,4,9,9
"org.jfree.data.time.Millisecond",5,0,32,2
"org.jfree.data.xy.XIntervalSeriesTest",10,4,0,5
"org.jfree.data.time.Day",10,2,105,4
"org.jfree.chart.GanttChartTest",23,13,0,16
"org.jfree.chart.renderer.category.StatisticalBarRendererTest",18,9,0,9
"org.jfree.chart.plot.dial.DialPlotTest",12,4,0,5
"org.jfree.chart.title.Title",17,7,13,12
"org.jfree.chart.date.SpreadsheetDate",2,0,3,3
"org.jfree.chart.axis.LogAxisTest",17,8,0,8
"org.jfree.chart.renderer.category.CategoryStepRenderer",17,10,8,17
"org.jfree.data.category.SlidingCategoryDatasetTest",8,3,0,4
"org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDatasetTest",9,4,0,5
"org.jfree.data.xy.XYIntervalSeriesTest",10,4,0,5
"org.jfree.chart.annotations.XYPolygonAnnotation",24,10,15,16
"org.jfree.chart.renderer.xy.SamplingXYLineRenderer",20,8,0,18
"org.jfree.data.KeyToGroupMap",13,3,13,13
"org.jfree.chart.renderer.xy.XYDotRenderer",20,11,8,18
"org.jfree.chart.renderer.xy.DeviationRenderer",17,9,7,15
"org.jfree.chart.renderer.xy.XYStepRenderer",20,12,11,19
"org.jfree.data.time.MovingAverage",4,4,0,6
"org.jfree.chart.axis.AxisTest",13,2,0,2
"org.jfree.chart.title.ImageTitle",11,5,0,10
"org.jfree.chart.plot.CombinedDomainXYPlotTest",22,12,0,14
"org.jfree.data.statistics.DefaultStatisticalCategoryDatasetTest",10,4,0,5
"org.jfree.chart.renderer.xy.StandardXYItemRendererTest",23,13,0,14
"org.jfree.data.xy.VectorSeriesTest",10,4,0,5
"org.jfree.data.xy.YIntervalSeriesTest",10,4,0,5
"org.jfree.chart.plot.CombinedDomainCategoryPlotTest",20,12,0,14
"org.jfree.chart.plot.CombinedRangeCategoryPlotTest",20,12,0,14
"org.jfree.chart.editor.DefaultTitleEditor",23,8,1,14
"org.jfree.chart.StandardChartThemeTest",16,4,0,4
"org.jfree.chart.plot.dial.DialTextAnnotation",18,6,7,14
"org.jfree.chart.annotations.XYDataImageAnnotation",17,8,0,15
"org.jfree.chart.plot.CombinedRangeXYPlotTest",22,12,0,14
"org.jfree.chart.annotations.XYLineAnnotation",24,11,19,16
"org.jfree.data.xy.DefaultXYZDataset",7,3,10,11
"org.jfree.chart.axis.PeriodAxisLabelInfo",18,4,31,7
"org.jfree.chart.util.DefaultShadowGenerator",6,1,4,6
"org.jfree.chart.axis.NumberTickUnitSource",4,1,5,5
"org.jfree.chart.renderer.xy.XYAreaRendererTest",18,11,0,11
"org.jfree.chart.plot.dial.StandardDialScaleTest",10,2,0,2
"org.jfree.chart.renderer.xy.YIntervalRendererTest",20,15,0,15
"org.jfree.data.json.impl.JSONValue",4,0,1,7
"org.jfree.data.xy.DefaultHighLowDataset",4,2,19,8
"org.jfree.chart.labels.AbstractXYItemLabelGenerator",9,4,5,9
"org.jfree.data.category.CategoryToPieDataset",8,5,9,10
"org.jfree.data.statistics.DefaultMultiValueCategoryDatasetTest",9,3,0,5
"org.jfree.data.DataUtilsTest",4,0,0,0
"org.jfree.chart.renderer.RendererUtils",3,2,1,4
"org.jfree.data.category.SlidingCategoryDataset",7,4,10,9
"org.jfree.chart.annotations.XYShapeAnnotation",24,10,15,15
"org.jfree.chart.annotations.XYBoxAnnotation",20,8,16,13
"org.jfree.chart.block.RectangleConstraint",3,3,52,3
"org.jfree.data.time.ohlc.OHLCSeriesTest",12,6,0,7
"org.jfree.chart.plot.dial.StandardDialFrame",18,5,8,13
"org.jfree.data.KeyedObjects",5,2,12,8
"org.jfree.data.xy.DefaultXYDataset",7,3,19,10
"org.jfree.chart.text.TextBlock",13,2,11,4
"org.jfree.chart.editor.DefaultChartEditor",21,7,1,13
"org.jfree.chart.ui.LCBLayout",6,0,7,0
"org.jfree.data.category.DefaultCategoryDataset",7,5,62,14
"org.jfree.data.general.Series",9,2,8,7
"org.jfree.data.statistics.HistogramDatasetTest",9,4,0,5
"org.jfree.chart.util.PaintAlpha",10,0,1,5
"org.jfree.data.xy.CategoryTableXYDataset",6,6,7,14
"org.jfree.data.time.ohlc.OHLCSeriesCollectionTest",12,5,0,6
"org.jfree.chart.renderer.xy.YIntervalRenderer",26,15,8,22
"org.jfree.chart.plot.ValueMarkerTest",18,5,0,6
"org.jfree.chart.plot.FastScatterPlotTest",14,5,0,7
"org.jfree.chart.plot.MeterPlotTest",12,4,0,4
"org.jfree.chart.block.CenterArrangement",5,1,1,3
"org.jfree.data.xy.TableXYDatasetTest",7,3,0,4
"org.jfree.chart.renderer.xy.StackedXYAreaRendererTest",21,11,0,11
"org.jfree.chart.axis.ValueAxisTest",21,10,0,12
"org.jfree.chart.axis.DateTickUnit",7,2,68,5
"org.jfree.chart.axis.MarkerAxisBand",15,3,15,7
"org.jfree.data.jdbc.JDBCCategoryDataset",10,2,0,7
"org.jfree.chart.annotations.TextAnnotation",14,6,1,10
"org.jfree.data.time.Year",5,0,228,4
"org.jfree.data.general.DefaultHeatMapDataset",3,2,17,9
"org.jfree.chart.util.ExportUtils",15,1,0,6
"org.jfree.chart.labels.AbstractCategoryItemLabelGenerator",10,6,2,13
"org.jfree.chart.annotations.XYImageAnnotation",19,7,0,12
"org.jfree.data.statistics.RegressionTest",5,3,0,4
"org.jfree.data.xy.DefaultXYZDatasetTest",7,3,0,4
"org.jfree.data.xy.XYIntervalSeriesCollection",8,5,9,10
"org.jfree.chart.text.TextFragment",14,2,4,6
"org.jfree.data.general.DefaultPieDataset",10,6,24,13
"org.jfree.chart.plot.dial.DialCap",16,5,16,11
"org.jfree.chart.block.BlockContainer",13,5,21,12
"org.jfree.data.statistics.SimpleHistogramBin",2,1,26,6
"org.jfree.chart.axis.LogarithmicAxisTest",7,1,0,6
"org.jfree.chart.util.RelativeDateFormatTest",10,0,0,0
"org.jfree.chart.title.LegendGraphicTest",15,3,0,3
"org.jfree.data.xy.DefaultOHLCDataset",3,1,13,8
"org.jfree.data.statistics.BoxAndWhiskerItem",5,1,33,3
"org.jfree.chart.HashUtils",6,3,52,9
"org.jfree.chart.labels.IntervalXYItemLabelGenerator",8,3,1,9
"org.jfree.data.DataUtils",3,2,6,5
"org.jfree.chart.renderer.xy.CandlestickRendererTest",15,7,0,7
"org.jfree.data.time.TimeSeriesTableModel",3,2,0,6
"org.jfree.data.xy.DefaultXYDatasetTest",7,3,0,4
"org.jfree.data.xy.XIntervalSeriesCollection",8,5,7,10
"org.jfree.data.KeyToGroupMapTest",6,2,0,2
"org.jfree.data.xy.XYBarDataset",3,3,7,10
"org.jfree.chart.labels.IntervalXYToolTipGenerator",8,3,0,9
"org.jfree.data.category.CategoryToPieDatasetTest",8,2,0,2
"org.jfree.chart.annotations.CategoryTextAnnotation",15,9,15,17
"org.jfree.chart.imagemap.ImageMapUtils",7,5,1,8
"org.jfree.chart.annotations.XYDrawableAnnotation",14,8,17,13
"org.jfree.chart.annotations.XYBoxAnnotationTest",17,9,0,9
"org.jfree.data.xy.YIntervalSeriesCollection",7,4,9,9
"org.jfree.chart.text.TextLine",8,1,3,3
"org.jfree.chart.util.AbstractObjectList",5,0,5,5
"org.jfree.chart.renderer.xy.XYAreaRenderer2Test",15,9,0,9
"org.jfree.chart.renderer.xy.XYDifferenceRendererTest",17,9,0,9
"org.jfree.chart.title.ShortTextTitle",9,4,6,8
"org.jfree.chart.plot.PlotRenderingInfo",14,5,77,10
"org.jfree.chart.block.LineBorder",17,5,10,8
"org.jfree.chart.axis.PeriodAxisLabelInfoTest",19,5,0,5
"org.jfree.chart.renderer.xy.XYBlockRendererTest",15,9,0,9
"org.jfree.chart.renderer.category.IntervalBarRenderer",12,8,10,13
"org.jfree.chart.renderer.category.ScatterRendererTest",12,5,0,6
"org.jfree.data.xy.VectorSeriesCollection",8,5,6,10
"org.jfree.chart.labels.BubbleXYItemLabelGenerator",11,7,24,13
"org.jfree.chart.labels.MultipleXYSeriesLabelGenerator",11,4,9,11
"org.jfree.data.ComparableObjectSeriesTest",7,2,0,5
"org.jfree.chart.PolarChartPanel",6,2,0,7
"org.jfree.chart.renderer.xy.XYStepRendererTest",13,8,0,8
"org.jfree.chart.axis.CategoryLabelPositionsTest",6,1,0,1
"org.jfree.chart.plot.PieLabelRecord",2,1,20,3
"org.jfree.chart.ui.FontChooserPanel",12,1,2,7
"org.jfree.data.statistics.BoxAndWhiskerCalculator",5,1,0,7
"org.jfree.chart.plot.MultiplePiePlotTest",18,9,0,10
"org.jfree.data.xy.DefaultTableXYDatasetTest",7,3,0,3
"org.jfree.chart.plot.CrosshairTest",13,3,0,3
"org.jfree.data.xy.DefaultHighLowDatasetTest",8,3,0,3
"org.jfree.chart.plot.DefaultDrawingSupplierTest",12,2,0,2
"org.jfree.chart.renderer.category.StatisticalLineAndShapeRendererTest",16,9,0,9
"org.jfree.chart.plot.CategoryMarkerTest",12,4,0,5
"org.jfree.data.time.TimePeriodValuesCollectionTest",7,2,0,2
"org.jfree.data.general.DefaultHeatMapDatasetTest",8,2,0,3
"org.jfree.chart.plot.ThermometerPlotTest",11,3,0,3
"org.jfree.data.time.FixedMillisecond",3,0,9,3
"org.jfree.chart.editor.DefaultPolarPlotEditor",12,4,1,13
"org.jfree.chart.axis.CategoryAxisTest",8,1,0,1
"org.jfree.chart.plot.dial.DialValueIndicatorTest",13,3,0,3
"org.jfree.chart.labels.StandardXYZToolTipGenerator",9,4,24,9
"org.jfree.chart.renderer.LookupPaintScaleTest",8,2,0,2
"org.jfree.data.gantt.SlidingGanttCategoryDatasetTest",8,3,0,3
"org.jfree.chart.plot.CrosshairState",1,0,31,1
"org.jfree.data.general.WaferMapDataset",3,1,3,4
"org.jfree.chart.renderer.category.LevelRendererTest",14,9,0,10
"org.jfree.chart.labels.BubbleXYItemLabelGeneratorTest",13,5,0,5
"org.jfree.data.xy.MatrixSeriesCollection",7,4,5,9
"org.jfree.chart.renderer.xy.XYShapeRendererTest",14,7,0,7
"org.jfree.chart.axis.ExtendedCategoryAxis",17,7,7,9
