"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.SaveHandler",4,4,0,5
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleNotificationDaoImpl",6,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ActivityHistoryPhotoDaoImpl",7,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ExportLayoutDaoImpl",7,2,2,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.SectionFieldDaoImpl",5,3,1,4
"br.com.trevisantecnologia.umov.watcher.model.ItemFilterDTO",0,0,22,0
"br.com.trevisantecnologia.umov.watcher.mapping.EntityConditionMapper",4,3,2,5
"br.com.trevisantecnologia.umov.watcher.ioc.guice.WatcherInjector",2,0,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.OperantionHandler",5,4,3,4
"br.com.trevisantecnologia.umov.watcher.serialize.GsonSerializer",2,0,3,0
"me.umov.photo.serialize.GsonSerializer",2,0,0,0
"br.com.trevisantecnologia.umov.watcher.ioc.guice.AWSClientSQSImageImporterProvider",5,2,0,3
"br.com.trevisantecnologia.umov.watcher.ioc.guice.AWSClientSQSPhotoManagerProvider",5,2,0,3
"br.com.trevisantecnologia.umov.watcher.service.DefaultSystemSettingsService",3,2,2,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleFeedDaoImpl",6,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.FeedDaoImpl",6,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ExportLayoutActivityDaoImpl",6,3,2,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.SectionDaoImpl",4,2,1,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.aplication.UnavailableAgents",5,4,1,5
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.observer.AgentUnavailableObserver",3,2,2,3
"br.com.trevisantecnologia.umov.watcher.eca.action.ScheduleTranslator",4,3,1,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.OperationHandlerFactory",2,0,1,0
"br.com.trevisantecnologia.umov.watcher.model.Condition",0,0,3,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.exceptions.TaskFinisherException",0,0,6,1
"br.com.trevisantecnologia.umov.watcher.types.TypeResolver",2,0,1,0
"br.com.trevisantecnologia.umov.watcher.service.ServiceLocalService",4,3,0,4
"br.com.trevisantecnologia.umov.watcher.service.SmsService",4,3,1,4
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.ExecuteInformation",0,0,14,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.FinishTaskDTO",3,2,1,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.IHistoryItemFeed",6,5,1,5
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ICustomFieldFeed",6,5,4,5
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaService",2,2,3,2
"br.com.trevisantecnologia.umov.watcher.dao.SessionVariableDao",2,1,2,5
"br.com.trevisantecnologia.umov.watcher.persistence.CustomPostgreSQLDialect",3,0,0,1
"br.com.trevisantecnologia.umov.watcher.service.AuditService",2,1,1,1
"br.com.trevisantecnologia.umov.watcher.types.BooleanCharacterType",3,0,0,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.DefaultSystemSettingsDaoImpl",4,2,3,3
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ReturnFromField",4,3,0,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.Cancel",4,3,0,4
"br.com.trevisantecnologia.umov.watcher.dao.GenericDao",2,0,12,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ICustomEntityEntryFeed",5,4,2,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.SystemParameterDaoImpl",4,2,7,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.Builder",3,2,8,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.IServiceLocalItemFeed",4,3,2,3
"br.com.trevisantecnologia.umov.watcher.model.SmsRecipients",0,0,1,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaPropertyService",2,2,0,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.Delete",2,2,0,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.Insert",2,2,0,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.Update",2,2,0,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.IFeederService",2,1,3,1
"br.com.trevisantecnologia.umov.watcher.mapping.ArchaicEntityMapper",2,2,0,3
"br.com.trevisantecnologia.umov.watcher.types.BooleanChar",0,0,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamNotExistsException",1,0,1,1
"br.com.trevisantecnologia.umov.watcher.exception.SaveException",0,0,4,2
"br.com.trevisantecnologia.umov.watcher.exception.NextImportPackageNumberException",0,0,2,2
"br.com.trevisantecnologia.umov.watcher.exception.FtpDirectoryNotFoundException",0,0,2,2
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.Translator",1,0,4,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.Finisher",1,1,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ICustomFieldValueFeed",3,2,2,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.exceptions.CustomEntityEntryFeederException",0,0,9,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksReturnFromField",3,2,2,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksToCancel",3,2,2,2
"br.com.trevisantecnologia.umov.watcher.exception.RowCountException",0,0,1,2
"br.com.trevisantecnologia.umov.watcher.exception.SendEmailException",0,0,1,1
"br.com.trevisantecnologia.umov.watcher.exception.BusinessValidation",0,0,1,1
