"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.task.ScheduleExportTask",51,4,4,5,15,4,1,8,3
"br.com.trevisantecnologia.umov.watcher.eca.adapter.impl.InternalConnector",51,4,1,8,13,1,1,4,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.Notification",51,3,2,18,4,4,3,6,3
"br.com.trevisantecnologia.umov.watcher.http.UmovCenterAdapter",49,5,4,6,9,3,1,5,2
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImportTask",49,4,4,5,14,4,1,8,3
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldService",49,4,3,11,12,10,1,14,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldValueDaoImpl",49,4,4,10,9,5,4,7,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksFinisher",47,6,4,9,8,6,1,8,3
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImageImportTask",47,2,1,4,13,5,1,9,3
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeOverdueScheduleTask",47,2,1,3,12,6,1,10,3
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportSmsBuilder",46,7,2,10,6,3,1,5,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.ServiceLocalItemBuilder",46,6,4,7,11,7,0,9,2
"br.com.trevisantecnologia.umov.watcher.model.ExportLayoutActivity",45,8,8,8,6,0,2,0,4
"br.com.trevisantecnologia.umov.watcher.service.AbstractService",45,7,6,10,6,4,11,8,2
"br.com.trevisantecnologia.umov.watcher.model.Section",44,8,8,8,6,0,3,0,4
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.smartpush.SmartPushTranslator",44,6,5,6,8,4,2,7,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ActionHandler",44,6,2,10,9,5,3,7,3
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaCustomFieldService",44,5,1,6,12,7,0,11,2
"br.com.trevisantecnologia.umov.watcher.ioc.guice.WatcherInjectionModule",43,2,1,1,14,4,1,7,0
