"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeScheduleTask.run()",11,3,12,2,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.buildSchedules(List<ExportLayout> exportLayoutList)",11,3,9,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping.getBuilder()",11,3,7,2,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification.changeStatus(boolean sucessRequest)",11,3,6,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.buildFilterDateHour(SQLQuery query, AnalyzeScheduleContext context)",10,3,13,2,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.buildParameters(Event event)",10,3,6,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.inicializeScheduleList(List<Schedule> scheduleList)",10,3,6,2,1
"br.com.trevisantecnologia.umov.watcher.service.ClientService.clientToProcess()",10,3,6,2,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.filterByNotOnQueue(List<ExportLayout> exportLayoutToBeScheduled)",10,3,3,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.buildParameters(InputContext inputContext)",9,3,9,2,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.getApiCallback(List<ActionImpl> actions)",9,3,5,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.applyValues(ClientSettings clientSettings, StringBuilder sql)",8,3,13,2,2
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.createCriteria(final Criterion... criterions)",8,3,2,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldValueDaoImpl.save(Item item)",7,3,5,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomFieldValueDaoImpl.save(Schedule schedule)",7,3,5,2,1
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.resolveListByIdentifier(String alternativeIdentifier, List<T> list)",7,3,3,2,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.isScheduleRunning(List<ScheduleExport> pendingOnQueue, ExportLayout toBeScheduled)",7,3,3,2,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.EntryFillerService.findHistoryByField(ExecuteInformation executionInformation, FeedField feedRuleField, ItemFilterDTO itemFilterDTO, ServiceDependencyFactory dependencyFactory)",6,3,9,2,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.truncateMessageWhenBiggerThatFiveHundredCharacters(String parameters)",5,3,3,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping.getCriterias()",5,3,3,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.getAction(Event event)",4,3,6,2,1
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeScheduleTask.getFirstAction(Event event)",4,3,6,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.AgentDaoImpl.updateCurrentSituation(List<Long> agentIds)",23,3,19,1,1
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionAnnotationInterceptor.invoke(MethodInvocation invocation)",21,3,11,1,1
"br.com.trevisantecnologia.umov.watcher.service.CustomFieldValueService.save(CustomFieldValue entity, FeedRuleMapping feedRuleMapping)",18,3,10,1,2
"br.com.trevisantecnologia.umov.watcher.serialize.ScheduleConverter.marshal(Object schedule, HierarchicalStreamWriter writer, MarshallingContext context)",15,3,13,1,3
"br.com.trevisantecnologia.umov.watcher.service.HistoryItemService.findHistoryItemBy(Long historyId, Long scheduleId, Long activityId, Long fieldId, Long clientId)",15,3,9,1,5
"br.com.trevisantecnologia.umov.watcher.service.HistoryItemService.findHistoryItemBy(Long scheduleId, Long activityId, Long fieldId, Long clientId)",15,3,9,1,4
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.FilterReturnFromField.getGenericFilter(ClientSettings clientSettings)",15,3,7,1,1
"br.com.trevisantecnologia.umov.watcher.service.AbstractService.save(List<T> entries, FeedRuleMapping feedRuleMapping)",14,3,9,1,2
"br.com.trevisantecnologia.umov.watcher.io.FileSystemManager.listFilesToImport(String ftpImportFileDirectory)",13,3,6,1,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.prepareScheduleImporting(List<ScheduleImport> filesToImport)",12,3,8,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ScheduleFeeder.checkCondition(Map<Long,Feed> feedMap, ScheduleFeed scheduleFeed)",12,3,6,1,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterCancel.getGenericFilter(ClientSettings clientSettings)",11,3,6,1,1
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImageImportTask.run()",11,3,6,1,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.buildScheduleImport(File file)",11,3,5,1,1
"br.com.trevisantecnologia.umov.watcher.eca.action.schedule.notification.parse.ParseTranslator.parseAgentIds(ScheduleNotification notification, JsonObject where)",10,3,5,1,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.changeFileExtension(ScheduleImport scheduleImport)",9,3,9,1,1
"br.com.trevisantecnologia.umov.watcher.model.Body.replaceAgentURL(String agentURL)",8,3,12,1,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.APS.hashCode()",8,3,2,1,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService.getSection(ActivityHistory activityHistory)",7,3,6,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ScheduleFeeder.getCondition(Map<Long,Feed> feedMap)",7,3,4,1,1
"br.com.trevisantecnologia.umov.watcher.io.PropertiesLoader.getWatcherProperties()",7,3,4,1,0
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService.validate(Schedule schedule)",7,3,3,1,1
"br.com.trevisantecnologia.umov.watcher.model.RESTRequest.getPassword()",7,3,2,1,0
"br.com.trevisantecnologia.umov.watcher.model.RESTRequest.getUser()",7,3,2,1,0
"br.com.trevisantecnologia.umov.watcher.service.HistoryItemService.findHistoryByField(ExecuteInformation scheduleFeed, FeedField feedRuleField, ItemFilterDTO itemFilterDTO)",6,3,8,1,3
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.getFileCacheKey(String filename)",6,3,5,1,1
"br.com.trevisantecnologia.umov.watcher.builder.ReportRequest.verifyBody()",6,3,5,1,0
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportSmsBuilder.extractSmsRecipients()",3,3,6,1,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService.verifyScheduleActivities(Schedule schedule)",3,3,5,1,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.FinishScheduleBaseOnGPSService.verifySectionFields(SectionField sectionFields)",3,3,1,1,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.TasksFinisher.verify(ActionFactory actionFactory, ClientSettings clientSettings)",3,3,0,1,2
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.TaskFinalized.verify(List<Task> tasks, ClientSettings clientSettings)",3,3,0,1,2
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamFactory.createParam(ScheduleNotification notification, Device device, SmartPushProperties smartPushProperties)",10,3,0,0,3
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.FeederFactory.getStrategy(Feed feed)",9,3,8,0,1
"br.com.trevisantecnologia.umov.watcher.model.ScheduleReportRequest.addCc(String email)",9,3,0,0,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterFactory.get(ClientSettings clientSettings)",8,3,2,0,1
"br.com.trevisantecnologia.umov.watcher.cache.ImportCacheManager.isDuplicated(String key, String fileChecksum)",7,3,5,0,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedCriteriaFactory.get(String fieldType)",7,3,5,0,1
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityService.findCustomEntity(FeedRuleMapping feedRuleMapping)",7,3,5,0,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.actions.ActionFactory.get(ClientSettings clientSettings)",7,3,4,0,1
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityEntryService.validateEntry(CustomEntityEntry customEntityEntry)",6,3,3,0,1
"br.com.trevisantecnologia.umov.watcher.model.AnalyzeScheduleContext.getClientId()",6,3,3,0,0
"br.com.trevisantecnologia.umov.watcher.model.AnalyzeScheduleContext.getListNotCancelByAltId()",5,3,3,0,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.ClientSettings.getListNotCancelByAltId()",5,3,3,0,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedFieldRule.hasTheSameType(OriginType type)",5,3,2,0,1
"br.com.trevisantecnologia.umov.watcher.task.FinishScheduleBaseOnGPSTask.getAction(Event event)",4,3,6,0,1
"br.com.trevisantecnologia.umov.watcher.model.Event.getActionParameter()",4,3,3,0,0
"br.com.trevisantecnologia.umov.watcher.model.AnalyzeScheduleContext.getWorkspace()",4,3,2,0,0
"br.com.trevisantecnologia.umov.watcher.model.ScheduleReportRequest.getClientId()",4,3,2,0,0
"br.com.trevisantecnologia.umov.watcher.model.ScheduleReportRequest.getScheduleId()",4,3,2,0,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.ClientSettings.getWorkspace()",4,3,2,0,0
"br.com.trevisantecnologia.umov.watcher.model.SystemParameter.getDoCacheFilesToImport()",4,3,1,0,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.execute()",21,2,24,3,0
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask.process(Event event, List<Schedule> findByPendingToReport)",11,2,7,3,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.processSchedule(Schedule schedule)",7,2,4,3,1
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.getActivityId(List<Activity> activities)",6,2,2,3,1
"br.com.trevisantecnologia.umov.watcher.task.SendReportScheduleExecutionTask.updateScheduleList(List<Schedule> findByPendingToReport)",5,2,3,3,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.getWorkspace()",4,2,2,3,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.getEvent()",4,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.getEventXML()",4,2,1,3,0
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.applyDefaultSubject()",3,2,5,3,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.beforeProcess(Schedule schedule)",3,2,4,3,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleService.afterProcess(Schedule schedule)",3,2,3,3,1
"br.com.trevisantecnologia.umov.watcher.builder.ScheduleReportMailBuilder.verifySubject(Subject subject)",3,2,2,3,1
"br.com.trevisantecnologia.umov.watcher.http.HttpUtil.request(final String url)",28,2,13,2,1
"br.com.trevisantecnologia.umov.watcher.task.SendSmsTask.buildUrl(Sms sms, final Long nextId, Entity to, Entity msg)",19,2,29,2,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.populateLogEca(String xml, Result result, InputContext inputContext)",18,2,28,2,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.LogEcaDaoImpl.populateLogEca(Event event, ActionImpl action, LogEcaType type, String error)",18,2,22,2,4
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.update(TaskFinalized taskFinalized)",18,2,19,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.Feeder.feedEntry(FeedRuleMapping feedRuleMapping)",18,2,11,2,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.run()",15,2,18,2,0
"br.com.trevisantecnologia.umov.watcher.monitor.Monitor.run()",14,2,8,2,0
"br.com.trevisantecnologia.umov.watcher.task.AnalyzeOverdueScheduleTask.run()",12,2,12,2,0
"br.com.trevisantecnologia.umov.watcher.service.WatcherEventService.run()",11,2,14,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleExportDaoImpl.saveEntities(List<ScheduleExport> scheduleExportList)",11,2,8,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleImportDaoImpl.saveEntities(List<ScheduleImport> filesToImport)",11,2,8,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.buildFilterDateHour(ClientSettings clientSettings, SQLQuery query)",10,2,13,2,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.hasNoExportLayoutActivity(ExportLayout exportLayout)",9,2,4,2,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleExportService.retrieveActivityIdsByExportLayout(ExportLayout exportLayout)",9,2,4,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.getCriteriaScheduleExceedExpectedDate(Schedule schedule)",7,2,11,2,1
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.findByIdAndClientId(Long entityId, Long clientId)",7,2,9,2,2
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.executeCallback(Schedule schedule, String url, ApiCallback apiCalback)",7,2,6,2,3
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.findByAlternativeIdentifier(String alternativeIdentifier, Long clientId)",6,2,9,2,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleSendMailService.generateScheduleToken(Schedule schedule)",6,2,5,2,1
"br.com.trevisantecnologia.umov.watcher.monitor.Monitor.executeTask()",6,2,4,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.ScheduleDaoImpl.build(List list)",6,2,2,2,1
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.findById(Long identifier)",5,2,7,2,1
"br.com.trevisantecnologia.umov.watcher.task.SendSmsTask.saveLastId(Sms sms)",5,2,6,2,1
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.buildApiCallback(String actionParameter)",5,2,2,2,1
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.onRetrieved(List<T> list)",5,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping.getOperationType()",5,2,1,2,0
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomEntityEntryDaoImpl.buildIn(final Criteria criteria, Map<String,List<Object>> mapIn)",4,2,5,2,2
"br.com.trevisantecnologia.umov.watcher.task.ApiCallbackTask.setSslCert(String url)",4,2,2,2,1
"br.com.trevisantecnologia.umov.watcher.dao.AbstractDao.save(List<T> entries)",4,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification.getClientAlias()",4,2,1,2,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification.getClientId()",4,2,1,2,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedRuleMapping.operationIsValid()",3,2,4,2,0
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification.setStatus(MonitorStatus status)",2,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.ScheduleNotification.setType(ScheduleNotificationType type)",2,2,1,2,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.AgentDaoImpl.agentsUnavailableWhenTaskHasJourney(TaskFinalized taskFinalized)",37,2,34,1,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.FilterDAO.appendFilterByNotCancel(ClientSettings clientSettings)",17,2,14,1,1
"br.com.trevisantecnologia.umov.watcher.interceptor.TransactionInterceptor.invoke(MethodInvocation invocation)",16,2,8,1,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventDaoImpl.findEventsToSendReportScheduleExecution(List<Long> clientIdList)",15,2,12,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ScheduleFeeder.doFeed(Map<Long,Feed> feedMap, ScheduleFeed scheduleFeed)",14,2,14,1,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventDaoImpl.findEventsToSendReportScheduleExecution(Long clientId)",14,2,11,1,1
"br.com.trevisantecnologia.umov.watcher.http.RESTClientProvider.setHttps(DefaultClientConfig clientConfig)",14,2,9,1,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.verifyImportFileCache(ScheduleImport scheduleImport, File fileToImport)",13,2,12,1,2
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.ItemFeeder.doFeed(Map<Long,Feed> feedMap, ScheduleFeed scheduleFeed)",12,2,12,1,2
"br.com.trevisantecnologia.umov.watcher.io.PropertiesLoader.loadPropertiesFile(String propertiesFileName)",12,2,8,1,1
"br.com.trevisantecnologia.umov.watcher.service.HistoryItemService.needToSendEmailBasedOnHistoryItemValue(Long activityId, Long scheduleId, Long fieldId, Long clientId)",12,2,7,1,4
"br.com.trevisantecnologia.umov.watcher.ioc.guice.HibernateSessionProvider.getSessionFactory()",11,2,12,1,0
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleImportService.isFileSizeExceeded(ScheduleImport scheduleImport)",10,2,8,1,1
"br.com.trevisantecnologia.umov.watcher.http.RESTClientProvider.postData(String url, Map<String,String> headers, String data)",9,2,10,1,3
"br.com.trevisantecnologia.umov.watcher.task.ScheduleExportTask.run()",9,2,10,1,0
"br.com.trevisantecnologia.umov.watcher.service.ScheduleService.populateActivitiesField(Schedule schedule, HistoryItem historyItem)",9,2,7,1,2
"br.com.trevisantecnologia.umov.watcher.dao.impl.EventDaoImpl.onRetrieved(Event instance)",9,2,7,1,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.SaveHandler.execute(Builder builder, FeedRuleMapping feedRuleMapping, ItemFilterDTO itemFilterDTO)",8,2,9,1,3
"br.com.trevisantecnologia.umov.watcher.task.ScheduleImportTask.run()",8,2,9,1,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.operations.handler.DeleteHandler.execute(Builder builder, FeedRuleMapping feedRuleMapping, ItemFilterDTO itemFilterDTO)",8,2,8,1,3
