"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.analyzer.application.dto.EntityDTO",7,1,1,1,0,0,1,0,1
"me.umov.analyzer.domain.repository.RuleRepository",7,0,0,1,3,1,17,2,0
"me.umov.analyzer.domain.repository.RuleLogRepository",7,0,0,1,3,1,3,2,0
"me.umov.analyzer.domain.ports.IStepFacory",6,1,1,1,2,1,2,1,0
"me.umov.analyzer.domain.ports.TranslatorMessage",6,1,1,1,2,2,3,2,0
"me.umov.analyzer.domain.ports.NotificationScheduler",6,1,1,1,2,2,3,2,0
"me.umov.analyzer.domain.repository.SystemParameterRepository",6,1,1,1,2,1,0,2,0
"me.umov.analyzer.domain.repository.EventRepository",6,1,1,1,2,1,3,2,0
"me.umov.analyzer.domain.ports.ApplicationListener",5,2,2,2,0,0,5,0,0
"me.umov.analyzer.domain.ports.NotificationTranslatorFactory",5,1,1,1,1,1,1,1,0
"me.umov.analyzer.domain.ports.QueueProducer",5,1,1,1,1,1,4,1,0
"me.umov.analyzer.application.worker.IWorker",5,1,1,1,1,1,2,1,0
"me.umov.analyzer.domain.repository.DefaultSystemSettingsRepository",5,0,0,1,2,1,0,2,0
"me.umov.analyzer.domain.repository.ActionRuleRepository",5,0,0,1,2,1,5,2,0
"me.umov.analyzer.domain.repository.HistoryRepository",5,0,0,1,2,1,2,2,0
"me.umov.analyzer.domain.validators.RuleValidation",4,1,1,1,0,0,2,0,0
"me.umov.analyzer.infrastructure.converters.LocalDateTimeAttributeConverterTest",3,0,0,1,0,0,0,0,0
