"type","dep","i-dep","fan-in","fan-out"
"me.umov.analyzer.fixture.EventFixture",1,1,5,1
"me.umov.analyzer.domain.core.Warning",2,1,0,4
"me.umov.analyzer.domain.core.Success",2,1,0,4
"me.umov.analyzer.infrastructure.configurations.JwtConfiguration",5,0,0,0
"me.umov.analyzer.domain.validators.DistributionTaskValidator",5,2,2,3
"me.umov.analyzer.domain.model.RuleContext",1,0,1,1
"me.umov.analyzer.infrastructure.configurations.CounterConfiguration",4,0,0,0
"me.umov.analyzer.domain.model.CallbackProtocol",0,0,0,0
"me.umov.analyzer.infrastructure.serialization.AnnotationExcludeSerializationStrategy",2,0,4,1
"me.umov.analyzer.domain.repository.TaskRepository",3,1,2,2
"me.umov.analyzer.domain.model.EventSetting",0,0,9,0
"me.umov.analyzer.domain.ports.ActionServices",6,3,2,3
"me.umov.analyzer.AnalyzerApplication",4,0,0,0
"me.umov.analyzer.fixture.ActionRuleModelFixture",1,1,2,1
"me.umov.analyzer.domain.excptions.SendNotificationAnalyzerException",1,0,0,1
"me.umov.analyzer.domain.validators.EmptyValidatorTest",3,1,0,1
"me.umov.analyzer.domain.model.RecipientsTest",2,0,0,0
"me.umov.analyzer.infrastructure.services.RuleRequestBuilder",4,1,0,1
"me.umov.analyzer.domain.excptions.ReprocessBusinessException",0,0,4,1
"me.umov.analyzer.domain.validators.BusinessValidator",1,0,4,1
"me.umov.analyzer.domain.validators.EmptyValidator",3,0,1,1
"me.umov.analyzer.domain.ports.ProducerBuilder",2,2,5,2
"me.umov.analyzer.architecture.IgnoreTests",2,0,0,1
"me.umov.analyzer.domain.events.RuleLogEvent",1,0,5,0
"me.umov.analyzer.domain.ports.BusinessService",3,2,2,2
"me.umov.analyzer.domain.excptions.HttpAnalyzerException",0,0,0,1
"me.umov.analyzer.domain.excptions.UnsupportedAnalyzerType",0,0,7,1
"me.umov.analyzer.domain.excptions.ConditionAnalyzerException",0,0,0,1
"me.umov.analyzer.domain.excptions.BusinessException",0,0,5,1
"me.umov.analyzer.domain.excptions.JmsAnalyzerException",0,0,4,1
"me.umov.analyzer.application.dto.EntityDTO",0,0,1,0
"me.umov.analyzer.domain.repository.RuleRepository",3,1,17,2
"me.umov.analyzer.domain.repository.RuleLogRepository",3,1,3,2
"me.umov.analyzer.domain.ports.IStepFacory",2,1,2,1
"me.umov.analyzer.domain.ports.TranslatorMessage",2,2,3,2
"me.umov.analyzer.domain.ports.NotificationScheduler",2,2,3,2
"me.umov.analyzer.domain.repository.SystemParameterRepository",2,1,0,2
"me.umov.analyzer.domain.repository.EventRepository",2,1,3,2
"me.umov.analyzer.domain.ports.ApplicationListener",0,0,5,0
"me.umov.analyzer.domain.ports.NotificationTranslatorFactory",1,1,1,1
"me.umov.analyzer.domain.ports.QueueProducer",1,1,4,1
"me.umov.analyzer.application.worker.IWorker",1,1,2,1
"me.umov.analyzer.domain.repository.DefaultSystemSettingsRepository",2,1,0,2
"me.umov.analyzer.domain.repository.ActionRuleRepository",2,1,5,2
"me.umov.analyzer.domain.repository.HistoryRepository",2,1,2,2
"me.umov.analyzer.domain.validators.RuleValidation",0,0,2,0
"me.umov.analyzer.infrastructure.converters.LocalDateTimeAttributeConverterTest",0,0,0,0
