"method","loc","cyclo","calls","nbd","param"
"org.hibernate.tuple.entity.PojoEntityTuplizer.buildProxyFactory(PersistentClass persistentClass, Getter idGetter, Setter idSetter)",88,19,48,3,3
"org.hibernate.boot.model.source.internal.hbm.AttributesHelper.processAttribute(MappingDocument mappingDocument, Callback callback, Object attributeJaxbMapping, String logicalTableName, NaturalIdMutability naturalIdMutability)",160,19,42,2,5
"org.hibernate.test.criteria.StudentAddress.equals(Object obj)",34,19,7,1,1
"org.hibernate.persister.entity.AbstractEntityPersister.delete(final Serializable id, final Object version, final int j, final Object object, final String sql, final SharedSessionContractImplementor session, final Object[] loadedState)",124,18,56,8,7
"org.hibernate.cfg.annotations.CollectionBinder.applySortingAndOrdering(Collection collection)",77,18,21,7,1
"org.hibernate.metamodel.internal.AttributeFactory.determineAttributeMetadata(AttributeContext<X> attributeContext, MemberResolver memberResolver)",145,18,39,5,2
"org.hibernate.engine.spi.ActionQueue$InsertActionSorter.sort(List<AbstractEntityInsertAction> insertions)",110,18,37,5,1
"org.hibernate.persister.entity.AbstractPropertyMapping.addPropertyPath(String path, Type type, String[] columns, String[] columnReaders, String[] columnReaderTemplates, String[] formulaTemplates, Mapping factory)",80,18,29,5,7
"org.hibernate.boot.model.source.internal.hbm.ModelBinder$AbstractPluralAttributeSecondPass.bindCollectionElement()",251,18,175,4,0
"org.hibernate.boot.model.source.internal.hbm.ModelBinder.bindAllEntityAttributes(MappingDocument mappingDocument, EntitySource entitySource, PersistentClass entityDescriptor)",207,18,75,4,3
"org.hibernate.loader.custom.sql.SQLQueryParser.substituteBrackets(String sqlQuery)",103,18,54,4,1
"org.hibernate.test.hql.ASTParserLoadingTest.testStr()",46,18,48,4,0
"org.hibernate.hql.internal.ast.HqlParser.negateNode(AST x)",127,18,67,3,1
"org.hibernate.test.legacy.FooBarTest.testCollectionsInSelect()",165,18,164,2,0
"org.hibernate.sql.Update.toStatementString()",60,18,50,2,0
"org.hibernate.test.hql.HQLTest.testExpressionWithParamInFunction()",31,18,24,2,0
"org.hibernate.persister.entity.AbstractEntityPersister.update(final Serializable id, final Object[] fields, final Object[] oldFields, final Object rowId, final boolean[] includeProperty, final int j, final Object oldVersion, final Object object, final String sql, final SharedSessionContractImplementor session)",130,17,55,8,10
"org.hibernate.cfg.AnnotationBinder.hasAnnotationsOnIdClass(XClass idClass)",25,17,16,8,1
"org.hibernate.engine.internal.Cascade.cascadeLogicalOneToOneOrphanRemoval(final CascadingAction action, final EventSource eventSource, final int componentPathStackDepth, final Object parent, final Object child, final Type type, final CascadeStyle style, final String propertyName, final boolean isCascadeDeleteEnabled)",90,17,22,6,9
"org.hibernate.jpa.boot.internal.EntityManagerFactoryBuilderImpl.buildBootstrapServiceRegistry(Map integrationSettings, ClassLoader providedClassLoader, ClassLoaderService providedClassLoaderService)",82,17,27,5,3
"org.hibernate.hql.internal.ast.tree.FromElementType.toColumns(String tableAlias, String path, boolean inSelect, boolean forceAlias)",76,17,31,5,4
"org.hibernate.cache.internal.CollectionCacheInvalidator.evictCache(Object entity, EntityPersister persister, EventSource session, Object[] oldState)",60,17,27,5,4
"org.hibernate.engine.internal.StatefulPersistenceContext.getIndexInOwner(String entity, String property, Object childEntity, Map mergeMap)",60,17,24,5,4
"org.hibernate.engine.spi.ActionQueue$InsertActionSorter.addParentChildEntityNameByPropertyAndValue(AbstractEntityInsertAction action, BatchIdentifier batchIdentifier, Type type, Object value)",54,17,53,5,4
"org.hibernate.persister.entity.UnionSubclassEntityPersister.UnionSubclassEntityPersister(final PersistentClass persistentClass, final EntityDataAccess cacheAccessStrategy, final NaturalIdDataAccess naturalIdRegionAccessStrategy, final PersisterCreationContext creationContext)",144,17,77,4,4
