"from","to","number"
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.LiteralExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.NullLiteralExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.NullifExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.ParameterExpressionImpl",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.SearchedCaseExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.SimpleCaseExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.SizeOfPluralAttributeExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.SubqueryComparisonModifierExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.UnaryArithmeticOperation",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.AbsFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.AggregationFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.BasicFunctionExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.CurrentDateFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.CurrentTimeFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.CurrentTimestampFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.LengthFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.LocateFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.LowerFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.ParameterizedFunctionExpression",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.SqrtFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.SubstringFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.TrimFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.expression.function.UpperFunction",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.path.PluralAttributePath",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.path.RootImpl",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.BetweenPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.BooleanAssertionPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.BooleanExpressionPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.BooleanStaticAssertionPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.ComparisonPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.CompoundPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.ExistsPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.InPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.IsEmptyPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.LikePredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.MemberOfPredicate",1
"org.hibernate.query.criteria.internal.CriteriaBuilderImpl","org.hibernate.query.criteria.internal.predicate.NullnessPredicate",1
"org.hibernate.query.criteria.internal.CriteriaSubqueryImpl","org.hibernate.query.criteria.internal.path.RootImpl",1
"org.hibernate.query.criteria.internal.expression.ExpressionImpl","org.hibernate.query.criteria.internal.expression.function.CastFunction",1
"org.hibernate.query.criteria.internal.expression.MapEntryExpression","org.hibernate.query.criteria.internal.path.MapAttributeJoin",1
"org.hibernate.query.criteria.internal.expression.PathTypeExpression","org.hibernate.query.criteria.internal.path.AbstractPathImpl",1
"org.hibernate.query.internal.QueryParameterBindingsImpl","org.hibernate.query.spi.QueryParameterListBinding",1
"org.hibernate.resource.beans.container.internal.CdiBeanContainerBuilder","org.hibernate.resource.beans.spi.ManagedBeanRegistryInitiator",1
"org.hibernate.tool.schema.extract.internal.TableInformationImpl","org.hibernate.tool.schema.extract.spi.InformationExtractor",1
"org.hibernate.type.BasicTypeRegistry","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.type.LocalDateTimeType","org.hibernate.type.descriptor.java.LocalDateTimeJavaDescriptor",1
"org.hibernate.type.LocalDateType","org.hibernate.type.descriptor.java.LocalDateJavaDescriptor",1
"org.hibernate.type.LocalTimeType","org.hibernate.type.descriptor.java.LocalTimeJavaDescriptor",1
"org.hibernate.type.OffsetDateTimeType","org.hibernate.type.descriptor.java.OffsetDateTimeJavaDescriptor",1
"org.hibernate.type.OffsetTimeType","org.hibernate.type.descriptor.java.OffsetTimeJavaDescriptor",1
"org.hibernate.type.TypeFactory","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.type.TypeResolver","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.type.ZonedDateTimeType","org.hibernate.type.descriptor.java.ZonedDateTimeJavaDescriptor",1
"org.hibernate.type.descriptor.java.BasicJavaDescriptor","org.hibernate.type.descriptor.sql.SqlTypeDescriptor",1
"org.hibernate.type.descriptor.java.spi.JavaTypeDescriptorRegistry","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.type.descriptor.sql.spi.SqlTypeDescriptorRegistry","org.hibernate.type.spi.TypeConfiguration",1
"org.hibernate.type.internal.TypeConfigurationRegistry","org.hibernate.type.spi.TypeConfiguration",1
