"method","loc","cyclo","calls","nbd","param"
"me.umov.business.infrastructure.serialization.HibernateProxyTypeAdapter.write(JsonWriter out, HibernateProxy value)",15,2,7,1,2
"me.umov.business.servicelocal.domain.ServiceLocalModel.setAddress(Address address)",13,2,11,1,1
"me.umov.business.infrastructure.servicelocal.ServiceLocalDAOImpl.findAll(List<Long> ids)",12,2,10,1,1
"me.umov.business.domain.rule.task.ShouldHaveValidFinalHour.processRule()",12,2,9,1,0
"me.umov.business.application.controller.workcycle.WorkCycleController.createWorkCycles(@RequestBody @Valid @NotEmpty @NotNull List<CreateWorkCycleRequest> requestList)",12,2,7,1,1
"me.umov.business.taskschedule.domain.ItineraryService.detachActivity(Long workCycleId, Long activityId)",11,2,11,1,2
"me.umov.business.application.repository.custom.task.TaskRepositoryCustomImpl.buildSql(boolean hasFinalDate)",11,2,7,1,1
"me.umov.business.shared.domain.event.DomainEventRegistry.findElegibleListeners(DomainEvent event)",10,2,11,1,1
"me.umov.business.taskschedule.domain.ItineraryService.attachActivity(Long workCycleId, Long activityId)",10,2,9,1,2
"me.umov.business.taskschedule.domain.ItineraryService.attachServiceLocal(Long workCycleId, Long serviceLocalId)",10,2,9,1,2
"me.umov.business.taskschedule.domain.ItineraryService.detachServiceLocal(Long workCycleId, Long serviceLocalId)",10,2,8,1,2
"me.umov.business.domain.rule.task.ShouldHaveValidFinalDate.processRule()",10,2,6,1,0
"me.umov.business.application.service.DistributionTask.redistribution(List<TaskModel> listTask, RuleRequestDTO dto)",9,2,9,1,2
"me.umov.business.infrastructure.cron.RundeckSchedulerCronProvider.ensureClientProjectExistance(String projectName)",9,2,5,1,1
"me.umov.business.domain.servicelocal.Address.resolveGeoCoordinate()",9,2,4,1,0
"me.umov.business.domain.rule.task.ShouldHaveTeamExecutionWhenTeamIsSelected.processRule()",9,2,3,1,0
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolio.processRule()",9,2,3,1,0
"me.umov.business.infrastructure.activity.ActivityDAOImpl.findAll(List<Long> ids)",9,2,2,1,1
"me.umov.business.infrastructure.agent.AgentDAOImpl.findAll(List<Long> ids)",9,2,2,1,1
"me.umov.business.infrastructure.team.TeamDAOImpl.findAll(List<Long> ids)",9,2,2,1,1
"me.umov.business.domain.rule.task.ShouldHaveTaskModel.processRule()",9,2,2,1,0
"me.umov.business.domain.rule.task.ShouldHaveValidTaskType.processRule()",9,2,2,1,0
"me.umov.business.taskschedule.anticorruption.relationship.AbstractItineraryRelationshipConverter.addRelationship(RelationshipDTO dto, Itinerary itinerary)",8,2,6,1,2
"me.umov.business.taskschedule.domain.ItineraryService.findItinerarySchedule(Long workCycleId)",8,2,3,1,1
