"method","loc","cyclo","calls","nbd","param"
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.updateActivityHistoryIntegrationFlag(long historicoPesquisaId)",21,1,27,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.insertSynchronismLog()",18,1,61,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.insertSynchronismErrorLog()",18,1,58,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getAgentId(final long clientId, final String agentAlias)",18,1,26,1,2
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.incrementActivityHistoryMediaCount(long historicoPesquisaId)",15,1,23,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getClientId(final String workspace)",14,1,19,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.insertPhotoPart()",13,1,36,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getActivityHistoryId(long fieldHistoryId)",13,1,18,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getPhotoId(final long fieldHistoryId)",13,1,18,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getTotalImagesToFeed(Long activityId, Long clientId)",12,1,9,1,2
"com.trevisan.servletfotoumobile.application.MountMedia.doGet(HttpServletRequest request, HttpServletResponse response)",10,1,12,1,2
"com.trevisan.servletfotoumobile.application.SaveMediaPart.doPost(HttpServletRequest request, HttpServletResponse response)",10,1,12,1,2
"com.trevisan.servletfotoumobile.service.ResultService.createMergeSuccessResult(Long savedMediaId, boolean isBackMediaId)",8,1,5,1,2
"com.trevisan.servletfotoumobile.service.ResultService.createSavePartExcludeResult(String message)",7,1,4,1,1
"com.trevisan.servletfotoumobile.service.ResultService.createErrorResult(String message)",6,1,3,1,1
"com.trevisan.servletfotoumobile.service.ResultService.createSavePartSuccessResult()",5,1,2,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getPicViewerLink(final long photoId, long clientId)",4,1,3,1,2
"com.trevisan.servletfotoumobile.application.SaveMediaPart.doGet(HttpServletRequest request, HttpServletResponse response)",4,1,2,1,2
"com.trevisan.servletfotoumobile.application.Version.doGet(HttpServletRequest request, HttpServletResponse response)",4,1,2,1,2
"com.trevisan.servletfotoumobile.application.Version.doPost(HttpServletRequest request, HttpServletResponse response)",4,1,2,1,2
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getAgentById(String agentId)",4,1,2,1,1
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.getFunctionFindAgentByToken()",4,1,2,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.insertScheduleFeed()",4,1,2,1,0
"com.trevisan.servletfotoumobile.application.MountMedia.doPost(HttpServletRequest request, HttpServletResponse response)",3,1,1,1,2
"com.trevisan.servletfotoumobile.application.MountMedia.init(ServletConfig config)",3,1,1,1,1
"com.trevisan.servletfotoumobile.application.SaveMediaPart.init(ServletConfig config)",3,1,1,1,1
"com.trevisan.servletfotoumobile.model.Agent.Agent(String login)",3,1,1,1,1
"com.trevisan.servletfotoumobile.application.RequestLogFactory.RequestLogFactory(UmovmeDatabaseConnection dataBaseConnection, SynchronismLogDao logDao)",3,1,0,1,2
"com.trevisan.servletfotoumobile.application.Version.getServletInfo()",3,1,0,1,0
"com.trevisan.servletfotoumobile.database.query.QueriesFactory.deleteTemporaryPhoto(final String photoNumber, final String taskId, final String activityId, boolean imageByImageField, String identifier)",2,1,1,1,5
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setBackMediaId(String backMediaId)",2,1,1,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.getMediaType()",2,1,1,1,0
"com.trevisan.servletfotoumobile.model.Agent.setClientId(long clientId)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.Agent.setId(long id)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.Agent.setLogin(String login)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.Agent.setToken(String token)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.Agent.setWorkspace(String workspace)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setActivityId(String activityId)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setAgent(Agent agent)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setChecksum(long checksum)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setClientId(Long clientId)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setIdentifier(String identifier)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setImageByFieldImage(boolean imageByFieldImage)",2,1,0,1,1
"com.trevisan.servletfotoumobile.model.ConnectionAttributes.setMediaType(String parameter)",2,1,0,1,1
