"type","dep","i-dep","fan-in","fan-out"
"org.sonar.server.issue.notification.IssuesChangesNotificationBuilderTest",20,2,0,3
"org.sonar.server.issue.notification.ChangesOnMyIssueNotificationHandlerTest",44,4,0,5
"org.sonar.server.permission.PermissionTemplateServiceTest",27,16,0,17
"org.sonar.server.issue.notification.IssuesChangesNotificationBuilder",12,1,23,8
"org.sonar.server.es.RecoveryIndexerTest",34,10,0,14
"org.sonar.ce.task.projectanalysis.step.LoadPeriodsStepTest",51,21,0,26
"org.sonar.server.branch.pr.ws.ListActionTest",54,23,0,23
"org.elasticsearch.transport.MockTcpTransport",47,0,1,7
"org.sonar.server.qualityprofile.RuleActivator",33,16,13,19
"org.sonar.ce.task.projectanalysis.step.LoadReportAnalysisMetadataHolderStepTest",41,21,0,24
"org.sonar.server.component.ws.TreeAction",57,16,1,24
"org.sonar.api.config.PropertyDefinition",34,1,43,9
"org.sonar.server.qualitygate.ws.ProjectStatusActionTest",39,16,0,19
"org.sonarqube.ws.client.HttpConnectorTest",32,1,0,5
"org.sonar.ce.task.projectanalysis.source.PersistFileSourcesStepTest",31,15,0,17
"org.sonar.server.issue.notification.NewIssuesStatisticsTest",23,4,0,8
"org.sonar.server.plugins.ws.InstalledActionTest",35,8,0,12
"org.sonar.server.qualityprofile.QProfileBackuperImplTest",35,13,0,18
"org.sonar.api.config.PropertyDefinitionTest",18,2,0,4
"org.sonar.server.es.IndexDefinitionHashTest",15,5,0,6
"org.sonar.scanner.sensor.DefaultSensorStorage",62,43,2,51
"org.sonar.server.measure.custom.ws.SearchActionTest",27,15,0,15
"org.sonar.server.ws.WebServiceEngineTest",24,7,0,9
"org.sonar.server.organization.ws.SearchActionTest",40,14,0,19
"org.sonar.server.rule.ws.RuleMapper",53,12,5,15
"org.sonar.server.badge.ws.MeasureActionTest",49,13,0,15
"org.sonar.ce.task.projectanalysis.qualitymodel.NewMaintainabilityMeasuresVisitorTest",43,11,0,15
"org.sonar.db.component.ComponentKeyUpdaterDaoTest",24,5,0,6
"org.sonar.server.component.ws.AppActionTest",25,9,0,9
"org.sonar.server.source.ws.LinesActionTest",34,21,0,24
"org.sonar.core.platform.PluginInfo",22,3,82,11
"org.sonar.server.authentication.HttpHeadersAuthenticationTest",43,17,0,19
"org.sonar.ce.task.projectanalysis.step.PersistIssuesStepTest",50,26,0,27
"org.sonar.scanner.mediumtest.cpd.CpdMediumTest",20,6,0,6
"org.sonar.ce.task.projectanalysis.filemove.FileMoveDetectionStep",40,16,2,30
"org.sonar.server.qualityprofile.ws.SearchUsersActionTest",33,15,0,15
"org.sonar.db.issue.IssueDaoTest",31,12,0,13
"org.sonar.ce.task.projectanalysis.analysis.AnalysisMetadataHolderImplTest",22,4,0,4
"org.sonar.server.qualityprofile.BuiltInQProfileUpdateImplTest",41,18,0,20
"org.sonar.server.issue.ws.AuthorsActionTest",38,23,0,23
"org.sonar.server.hotspot.ws.AssignActionTest",50,19,0,22
"org.sonar.db.purge.PurgeCommands",10,2,16,6
"org.sonar.server.qualityprofile.ws.QProfilesWsMediumTest",50,31,0,33
"org.sonar.server.permission.ws.template.DeleteTemplateActionTest",40,27,0,28
"org.sonar.server.ce.ws.ActivityAction",50,15,1,23
"org.sonar.db.source.FileSourceDaoTest",30,6,0,11
"org.sonar.ce.task.projectanalysis.qualitymodel.NewSecurityReviewMeasuresVisitorTest",49,14,0,15
"org.sonar.ce.logging.CeProcessLoggingTest",24,2,0,3
"org.sonar.server.permission.ws.AddUserActionTest",34,13,0,15
"org.sonar.ce.task.projectanalysis.issue.IssueCounterTest",86,12,0,13
"org.sonar.server.qualitygate.ws.ShowActionTest",31,17,0,19
"org.sonar.scanner.mediumtest.issues.IssuesMediumTest",23,9,0,10
"org.sonar.db.DbTester",42,29,484,35
"org.sonar.server.permission.ws.template.SearchTemplatesActionTest",33,19,0,23
"org.sonar.ce.task.projectanalysis.issue.TrackerRawInputFactoryTest",40,15,0,16
"org.sonar.db.rule.RuleDefinitionDto",13,1,151,4
"org.sonar.server.setting.ws.SetAction",45,16,1,24
"org.sonar.api.batch.fs.internal.DefaultInputFile",26,3,73,14
"org.sonar.server.measure.ws.SearchActionTest",38,10,0,12
"org.sonar.server.usergroups.ws.UsersActionTest",25,13,0,14
"org.sonar.server.rule.CachingRuleFinderTest",27,12,0,14
"org.sonar.ce.task.projectanalysis.step.PersistComponentsStep",35,19,4,24
"org.sonar.auth.github.IntegrationTest",24,6,0,11
"org.sonarqube.ws.client.qualityprofiles.QualityprofilesService",14,5,2,6
"org.sonar.server.project.ws.SearchActionTest",52,15,0,20
"org.sonar.server.issue.index.IssueQueryFactory",58,11,8,18
"org.sonar.server.qualitygate.ws.SearchActionTest",32,13,0,13
"org.sonar.api.server.ws.Request",21,1,307,13
"org.sonar.server.permission.GroupPermissionChangerTest",26,14,0,15
"org.sonar.core.extension.CoreExtensionsInstallerTest",38,7,0,12
"org.sonar.server.qualityprofile.ws.ChangeParentActionTest",52,35,0,37
"org.sonar.application.command.JvmOptionsTest",25,2,0,7
"org.sonar.server.rule.ws.RuleQueryFactoryTest",51,16,0,19
"org.sonar.ce.task.projectanalysis.measure.MeasureRepositoryImplTest",42,17,0,18
"org.sonar.server.issue.ws.TagsActionTest",36,18,0,19
"org.sonar.server.setting.ThreadLocalSettingsTest",28,3,0,9
"org.sonar.server.organization.OrganizationUpdaterImplTest",50,34,0,35
"org.sonar.ce.task.projectanalysis.issue.ComponentIssuesLoaderTest",39,13,0,18
"org.sonar.server.component.ws.ShowActionTest",36,13,0,17
"org.sonar.api.rules.Rule",16,1,28,4
"org.sonar.server.setting.ws.ValuesAction",49,14,2,28
"org.sonar.server.project.ws.CreateActionTest",46,21,0,24
"org.sonarqube.ws.client.issues.SearchRequest",2,0,0,0
"org.sonar.server.qualityprofile.ws.ProjectsActionTest",25,13,0,14
"org.sonar.ce.task.projectanalysis.api.posttask.PostProjectAnalysisTasksExecutor",37,20,6,28
"org.sonar.ce.queue.CeQueueImpl",42,15,6,22
"org.sonar.server.newcodeperiod.ws.SetActionTest",34,19,0,20
"org.sonar.server.component.ws.SuggestionsAction",55,20,1,28
"org.sonar.server.user.ws.DeactivateActionTest",47,28,0,29
"org.sonar.server.organization.ws.OrganizationDeleterTest",61,33,0,35
"org.sonar.server.user.ws.CreateActionTest",43,22,0,24
"org.sonar.server.es.EsTester",70,9,120,15
"org.sonar.server.permission.ws.template.TemplateGroupsActionTest",39,18,0,22
"org.sonar.api.batch.sensor.internal.SensorContextTesterTest",31,18,0,18
"org.sonar.server.notification.NotificationServiceTest",24,3,0,7
"org.sonar.db.alm.ProjectAlmBindingDaoTest",24,7,0,12
"org.sonar.server.es.BulkIndexer",37,4,17,18
"org.sonar.server.permission.index.PermissionIndexerTest",25,13,0,14
"org.sonar.server.webhook.ws.CreateActionTest",37,18,0,20
"org.sonar.server.source.HtmlTextDecoratorTest",5,0,0,0
"org.sonar.server.es.newindex.NewIndexTest",21,3,0,7
"org.sonar.server.user.ws.SearchActionTest",25,11,0,13
"org.sonar.server.qualitygate.QualityGateConditionsUpdaterTest",31,8,0,9
"org.sonar.server.permission.ws.UsersActionTest",40,15,0,19
"org.sonar.db.component.ComponentDbTester",14,7,28,8
"org.sonar.scanner.bootstrap.ModuleSensorExtensionDictionnaryTest",25,9,0,16
"org.sonar.server.user.UserUpdaterReactivateTest",27,17,0,19
"org.sonar.server.ui.ws.GlobalActionTest",34,24,0,25
"org.sonar.server.ce.ws.ComponentActionTest",38,17,0,18
"org.sonar.server.platform.ws.HealthActionTest",42,13,0,15
"org.sonar.server.qualityprofile.ws.SearchGroupsActionTest",32,13,0,13
"org.sonar.scanner.scan.ProjectScanContainer",116,109,4,111
"org.sonar.db.MyBatis",131,117,8,120
"org.sonar.server.qualityprofile.ws.SearchAction",51,18,4,24
"org.sonar.server.issue.IssueChangeWSSupport",43,11,6,17
"org.sonar.server.batch.IssuesActionTest",34,15,0,16
"org.sonar.ce.task.projectanalysis.formula.ReportFormulaExecutorComponentVisitorTest",27,10,0,15
"org.sonar.duplications.java.JavaStatementBuilderTest",14,4,0,5
"org.sonar.db.component.ComponentDto",17,1,441,5
"org.sonar.server.issue.index.IssueIndexTest",51,16,0,17
"org.sonar.server.organization.ws.SearchMembersActionTest",31,17,0,18
"org.sonar.server.qualityprofile.RegisterQualityProfilesNotificationTest",51,18,0,19
"org.sonar.server.platform.db.migration.version.v81.MigrateAzureAlmSettingsTest",17,6,0,8
"org.sonar.server.issue.ws.ChangelogActionTest",39,20,0,23
"org.sonar.server.project.ws.BulkDeleteActionTest",49,19,0,21
"org.sonar.server.qualityprofile.ws.ShowActionTest",37,21,0,22
"org.sonar.server.ui.ws.ComponentAction",57,29,1,35
"org.sonar.api.batch.sensor.internal.SensorContextTester",67,50,17,53
"org.sonar.server.permission.ws.RemoveUserActionTest",39,13,0,15
"org.sonar.ce.task.projectanalysis.step.NewSizeMeasuresStepTest",31,8,0,9
"org.sonar.scanner.scan.ProjectReactorBuilder",32,13,4,24
"org.sonar.ce.task.projectanalysis.issue.IssueLifecycleTest",34,9,0,9
"org.sonar.db.alm.AlmAppInstallDaoTest",22,7,0,10
"org.sonar.db.DatabaseUtilsTest",33,4,0,10
"org.sonar.server.issue.notification.MyNewIssuesNotificationHandlerTest",27,3,0,4
"org.sonar.server.platform.db.migration.version.v81.MigrateBitbucketAlmSettings",18,8,1,15
"org.sonar.application.process.ManagedProcessHandler",11,0,2,5
"org.sonar.server.notification.email.EmailNotificationChannelTest",37,4,0,5
"org.sonar.db.user.UserDbTester",22,8,2,12
"org.sonar.core.util.logs.DefaultProfilerTest",12,2,0,5
"org.sonar.ce.task.projectanalysis.component.ComponentTreeBuilder",22,3,2,12
"org.sonar.server.permission.ws.template.BulkApplyTemplateActionTest",37,17,0,20
"org.sonar.server.platform.PlatformImpl",20,13,7,22
"org.sonar.server.platform.db.migration.version.v81.MigrateAzureAlmSettings",18,8,1,18
"org.sonar.db.qualityprofile.QProfileEditUsersDaoTest",19,6,0,6
"org.sonar.api.server.profile.BuiltInQualityProfilesDefinition",20,2,15,15
"org.sonar.server.issue.IssueFieldsSetter",19,6,48,9
"org.sonar.server.notification.ws.AddActionTest",34,16,0,18
"org.sonar.ce.task.projectanalysis.step.LoadCrossProjectDuplicationsRepositoryStepTest",44,22,0,23
"org.sonar.server.permission.ws.GroupsActionTest",35,15,0,16
"org.sonar.server.qualitygate.changeevent.QGChangeEventListenersImplTest",39,4,0,5
"org.sonar.api.server.rule.internal.DefaultNewRule",25,5,4,8
"org.sonar.server.rule.ws.UpdateActionTest",47,24,0,25
"org.sonar.server.newcodeperiod.ws.ListActionTest",31,18,0,20
"org.sonar.api.utils.KeyValueFormat",11,0,14,16
"org.sonar.server.plugins.ServerPluginRepositoryTest",25,6,0,7
"org.sonar.ce.task.projectanalysis.formula.ViewsFormulaExecutorComponentVisitorTest",25,9,0,13
"org.sonar.server.issue.ws.SearchResponseLoader",44,13,3,18
"org.sonar.server.organization.ws.UpdateActionTest",24,12,0,13
"org.sonar.ce.task.projectanalysis.issue.NewEffortAggregatorTest",30,11,0,12
"org.sonar.scanner.mediumtest.coverage.CoverageMediumTest",17,5,0,5
"org.sonar.server.authentication.event.AuthenticationEventImplTest",20,1,0,3
"org.sonar.server.plugins.ws.PendingActionTest",25,10,0,11
"org.sonar.server.issue.workflow.IssueWorkflow",25,5,14,7
"org.sonar.application.es.EsSettingsTest",34,5,0,8
"org.sonar.ce.task.projectanalysis.qualitymodel.NewReliabilityAndSecurityRatingMeasuresVisitorTest",49,17,0,18
"org.sonar.ce.task.projectanalysis.duplication.IntegrateCrossProjectDuplicationsTest",24,8,0,9
"org.sonar.server.authentication.InitFilterTest",29,11,0,14
"org.sonar.server.platform.serverid.ServerIdManagerTest",34,11,0,13
"org.sonar.application.process.ManagedProcessHandlerTest",18,0,0,5
