"type","dep","i-dep","fan-in","fan-out"
"me.umov.jaiminho.infrastructure.email.AwsSesMailByHtmlAdapter",6,1,1,3
"me.umov.jaiminho.domain.validators.MailValidatorTest",11,4,0,4
"me.umov.jaiminho.infrastructure.http.authentication.factor.XCSRFAuthenticationImpl",10,6,1,8
"me.umov.jaiminho.domain.exception.IdempotencyException",1,1,4,2
"me.umov.jaiminho.domain.validators.rules.SmsTextLengthRuleValidationTest",8,2,0,2
"me.umov.jaiminho.fixture.SMSFixture",1,1,2,1
"me.umov.jaiminho.domain.model.Body",0,0,1,2
"me.umov.jaiminho.application.observer.NotificationExecutedSQS",8,4,0,7
"me.umov.jaiminho.infrastructure.dao.PlataformEventDao",11,2,2,2
"me.umov.jaiminho.architecture.ApplicationTest",11,2,0,2
"me.umov.jaiminho.domain.model.ServiceStatus",1,0,0,0
"me.umov.jaiminho.domain.event.trigger.NotificationHasBeenReprocessed",2,0,5,2
"me.umov.jaiminho.domain.validators.MessageRequestValidator",2,2,2,5
"me.umov.jaiminho.infrastructure.email.MailSenderFactoryTest",9,1,0,1
"me.umov.jaiminho.domain.event.DomainEventRegistry",6,3,4,7
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.AttributeMapper",4,2,2,4
"me.umov.jaiminho.domain.event.trigger.HistoryProcessedInError",1,0,3,2
"me.umov.jaiminho.infrastructure.producer.aws.SendMessageRequestService",3,0,0,0
"me.umov.jaiminho.domain.validators.rules.PhoneLengthRuleValidationTest",8,2,0,2
"me.umov.jaiminho.domain.validators.rules.ShouldSendEmailValidationTest",8,2,0,2
"me.umov.jaiminho.domain.validators.rules.SubjectRuleValidationTest",8,2,0,2
"me.umov.jaiminho.infrastructure.business.JwtServiceTest",8,0,0,0
"me.umov.jaiminho.domain.validators.SmsValidatorTest",10,3,0,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementTask",7,5,0,7
"me.umov.jaiminho.infrastructure.dao.NotificationDAO",7,3,0,6
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.FactoryAttributeMapper",4,2,0,3
"me.umov.jaiminho.infrastructure.dao.document.Source",0,0,2,0
"me.umov.jaiminho.infrastructure.dao.document.MessageLog",3,0,3,0
"me.umov.jaiminho.architecture.InfrastructureTest",8,0,0,0
"me.umov.jaiminho.application.event.DataStreamWasProcessed",3,2,8,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.AttributeTest",4,0,0,0
"me.umov.jaiminho.infrastructure.configuration.RestConfiguration",6,0,0,1
"me.umov.jaiminho.infrastructure.producer.aws.ProducerService",3,1,6,4
"me.umov.jaiminho.infrastructure.email.MailService",8,3,0,5
"me.umov.jaiminho.architecture.GeneralTest",6,0,0,0
"me.umov.jaiminho.fixture.AgentFixture",1,1,2,1
"me.umov.jaiminho.fixture.ServiceLocalFixture",1,1,2,1
"me.umov.jaiminho.infrastructure.email.AwsSesMailAdapter",4,1,1,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.GeneralSettings",0,0,3,0
"me.umov.jaiminho.fixture.NotificationMessageFixture",5,5,3,5
"me.umov.jaiminho.infrastructure.dao.entity.Client",3,0,1,0
"me.umov.jaiminho.application.dto.ReprocessExecuted",2,1,1,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryMapper",5,3,0,6
"me.umov.jaiminho.application.observer.CleanNotificationDocument",7,4,0,6
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.CallbackParameters",0,0,6,1
"me.umov.jaiminho.fixture.AttributeFixture",1,1,12,1
"me.umov.jaiminho.infrastructure.util.EncoderURLService",4,0,2,2
"me.umov.jaiminho.infrastructure.producer.aws.SendMessageTest",3,0,0,0
"me.umov.jaiminho.infrastructure.dao.SMSImplDao",4,2,0,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.CallbackTranslatorMessage",9,7,2,8
"me.umov.jaiminho.domain.Email",6,3,1,4
"me.umov.jaiminho.domain.model.RecipientTest",3,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ServiceLocalMapper",3,2,0,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.AgentMapper",3,2,0,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryItemMapper",5,4,1,6
"me.umov.jaiminho.infrastructure.http.authentication.FactorAuthenticationService",7,5,1,7
"me.umov.jaiminho.application.event.ApplicationEventRegistry",4,1,8,2
"me.umov.jaiminho.architecture.AnticorruptionTest",8,2,0,2
"me.umov.jaiminho.anticorruption.aws.AWSFactory",5,3,0,5
"me.umov.jaiminho.infrastructure.dao.document.EventState",3,0,1,0
"me.umov.jaiminho.domain.Callback",7,5,0,6
"me.umov.jaiminho.domain.validators.MailValidator",7,4,2,5
"me.umov.jaiminho.fixture.ActionRuleFixture",2,2,2,2
"me.umov.jaiminho.fixture.RecipientsFixture",2,2,3,2
"me.umov.jaiminho.fixture.CallbackCredentialsFixture",1,1,2,1
"me.umov.jaiminho.domain.event.trigger.NotificationNotPerformed",1,1,0,3
"me.umov.jaiminho.infrastructure.configuration.MailSenderConfigurationTest",5,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.UrlShortenerAdapter",3,0,3,2
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorFactory",6,3,0,4
"me.umov.jaiminho.domain.SMS",6,4,0,5
"me.umov.jaiminho.fixture.ActionFixture",1,1,3,1
"me.umov.jaiminho.fixture.HistoryItemFixture",1,1,2,1
"me.umov.jaiminho.fixture.HistoryFixture",1,1,2,1
"me.umov.jaiminho.fixture.CallbackParametersFixture",1,1,2,1
"me.umov.jaiminho.infrastructure.dao.document.Credentials",0,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.TaskMapper",2,2,0,3
"me.umov.jaiminho.infrastructure.email.MailSenderFactory",6,2,0,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementMessage",3,3,5,5
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementActivityLink",4,3,0,5
"me.umov.jaiminho.application.controller.VersionController",4,0,0,1
"me.umov.jaiminho.infrastructure.http.authentication.MFAFactory",6,4,0,4
"me.umov.jaiminho.domain.validators.SmsValidator",6,3,2,4
"me.umov.jaiminho.infrastructure.dao.HistoryImplDAO",3,1,0,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.GeneralSettingsConverter",4,1,2,2
"me.umov.jaiminho.infrastructure.dao.CustomFieldValueDao",4,1,4,2
"me.umov.jaiminho.domain.model.MultipleFactorAuthentication",0,0,4,0
"me.umov.jaiminho.domain.model.Source",0,0,1,0
"me.umov.jaiminho.application.dto.ResultDTO",0,0,2,0
"me.umov.jaiminho.application.dto.StatusMessage",0,0,2,0
"me.umov.jaiminho.domain.model.MessageTest",3,0,0,0
"me.umov.jaiminho.infrastructure.configuration.mongo.MultipleMongoProperties",3,0,0,0
"me.umov.jaiminho.infrastructure.dao.LocalDateTimeAttributeConverter",4,0,2,1
"me.umov.jaiminho.JaiminhoApplication",7,0,0,0
"me.umov.jaiminho.domain.ports.IRequest",3,0,8,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ClientFixture",1,1,2,1
"me.umov.jaiminho.fixture.CustomFieldValueFixture",1,1,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementAgentLink",3,2,0,4
"me.umov.jaiminho.infrastructure.configuration.NotificationBlacklistConfiguration",5,0,1,0
"me.umov.jaiminho.infrastructure.configuration.JwtConfiguration",5,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.CallbackProtocol",1,1,2,1
"me.umov.jaiminho.infrastructure.dao.TaskDao",3,1,10,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementReportLink",3,2,1,4
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementGroup",3,2,0,3
"me.umov.jaiminho.domain.validators.rules.SmsTextLengthRuleValidation",4,3,2,4
"me.umov.jaiminho.domain.validators.rules.ShouldSendEmailValidation",4,3,2,4
"me.umov.jaiminho.domain.validators.rules.PhoneLengthRuleValidation",4,3,2,4
"me.umov.jaiminho.domain.model.TaskResult",2,0,1,0
"me.umov.jaiminho.domain.validators.rules.SubjectRuleValidation",4,3,2,4
"me.umov.jaiminho.domain.ports.ICredentials",3,1,8,1
"me.umov.jaiminho.infrastructure.gson.GsonWrapper",3,0,2,0
"me.umov.jaiminho.fixture.SimpleMailMessageFixture",1,0,1,0
"me.umov.jaiminho.domain.event.trigger.NotificationSent",1,0,5,1
"me.umov.jaiminho.infrastructure.dao.notification.PlataformEventRepository",4,1,4,2
"me.umov.jaiminho.domain.validators.BusinessValidator",1,0,1,1
"me.umov.jaiminho.domain.exception.JaiminhoBusinessException",0,0,13,1
"me.umov.jaiminho.infrastructure.configuration.NotificationBlacklistConfigurationTest",2,0,0,0
"me.umov.jaiminho.infrastructure.business.RequestBuilder",3,0,0,0
"me.umov.jaiminho.architecture.IgnoreTests",2,0,0,1
"me.umov.jaiminho.infrastructure.dao.sentinel.MessageLogRepository",4,1,2,2
"me.umov.jaiminho.domain.ports.Reprocess",1,0,5,0
"me.umov.jaiminho.infrastructure.producer.ProducerQueueBuilder",2,2,5,2
"me.umov.jaiminho.domain.ports.IHttp",2,1,4,1
"me.umov.jaiminho.infrastructure.dao.HistoryItemDao",3,1,2,2
"me.umov.jaiminho.application.dto.EntityDTO",0,0,1,0
"me.umov.jaiminho.application.sqs.service.LimitException",0,0,3,1
"me.umov.jaiminho.infrastructure.configuration.mongo.NotificationMongoConfig",2,0,0,0
"me.umov.jaiminho.infrastructure.configuration.mongo.SentinelMongoConfig",2,0,0,0
"me.umov.jaiminho.infrastructure.dao.ActionRuleRepository",3,1,5,2
"me.umov.jaiminho.infrastructure.dao.RuleLogDao",3,1,0,2
"me.umov.jaiminho.infrastructure.dao.entity.UsesCustomField",0,0,5,0
"me.umov.jaiminho.domain.event.trigger.DomainEvent",0,0,5,0
"me.umov.jaiminho.infrastructure.producer.aws.MessageSQS",1,0,3,0
"me.umov.jaiminho.infrastructure.dao.SMSDao",1,1,3,1
"me.umov.jaiminho.infrastructure.dao.HistoryRepository",1,1,6,1
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorMessage",2,2,5,2
"me.umov.jaiminho.infrastructure.http.authentication.factor.FactorAuthentication",2,2,3,2
"me.umov.jaiminho.infrastructure.http.authentication.exception.FactorAuthenticationNotDefinedException",0,0,1,1
"me.umov.jaiminho.infrastructure.dao.SystemParameterDao",2,1,0,2
"me.umov.jaiminho.domain.ports.ISms",2,2,3,2
"me.umov.jaiminho.domain.exception.MailValidationException",0,0,0,1
"me.umov.jaiminho.domain.exception.BlacklistValidationException",0,0,2,1
"me.umov.jaiminho.application.sqs.ConverterMessageToNotification",2,2,6,2
"me.umov.jaiminho.domain.ports.ApplicationListener",0,0,8,0
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.NotificationTranslatorFactory",1,1,3,1
"me.umov.jaiminho.domain.ports.IMailService",1,1,3,1
"me.umov.jaiminho.domain.ports.NotificationRepository",1,1,5,1
"me.umov.jaiminho.domain.ports.IFactorAuthentication",1,1,2,1
"me.umov.jaiminho.domain.ports.Jaiminho",1,1,5,1
"me.umov.jaiminho.domain.event.trigger.Log",1,0,6,1
"me.umov.jaiminho.domain.event.trigger.NotificationWasPerformed",1,1,3,3
"me.umov.jaiminho.domain.Deliverable",1,1,3,1
"me.umov.jaiminho.application.sqs.FactoryConverters",1,1,4,1
"me.umov.jaiminho.infrastructure.dao.SMSRepository",2,1,0,2
"me.umov.jaiminho.infrastructure.dao.HistoryDao",2,1,0,2
"me.umov.jaiminho.infrastructure.producer.ProducerQueue",0,0,5,0
"me.umov.jaiminho.infrastructure.dao.PersinstenceHistory",0,0,1,0
"me.umov.jaiminho.domain.ports.IMailSender",0,0,4,0
"me.umov.jaiminho.domain.ports.EventRegistry",0,0,1,0
"me.umov.jaiminho.domain.event.trigger.FatalError",0,0,2,1
"me.umov.jaiminho.domain.validators.RuleValidation",0,0,6,0
