"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.business.taskschedule.anticorruption.relationship.AgentRelationshipConverter",44,6,0,6,11,8,0,9,2
"me.umov.business.application.exception.BusinessValidationException",43,7,7,8,8,3,29,6,2
"me.umov.business.domain.itinerary.specification.ShouldValidateTeamsByRelationTest",43,4,4,4,9,2,0,2,1
"me.umov.business.infrastructure.jpa.CustomFieldTypeConverterTest",43,2,2,2,12,1,0,1,0
"me.umov.business.infrastructure.servicelocal.ServiceLocalDAOImplTest",43,2,2,2,11,3,0,3,3
"me.umov.business.application.service.AgentServiceTest",42,3,3,3,14,4,0,4,3
"me.umov.business.domain.model.builder.BaseLoader",41,6,2,7,8,6,1,7,2
"me.umov.business.infrastructure.serialization.HibernateProxyTypeAdapter",41,4,3,4,9,0,1,2,2
"me.umov.business.domain.rule.task.ShouldHaveValidFinalHourTest",41,3,3,3,11,3,0,3,0
"me.umov.business.domain.generic.specification.ShouldHaveUniqueDescription",41,3,1,4,9,3,4,6,1
"me.umov.business.domain.recurrence.DateInterval",40,9,7,11,2,0,12,1,2
"me.umov.business.application.model.dto.CustomFieldValueDTO",40,9,9,11,1,1,3,1,4
"me.umov.business.application.model.Event",40,8,8,8,3,0,4,0,4
"me.umov.business.domain.task.TaskDailyResumeTest",40,5,5,5,7,0,0,0,1
"me.umov.business.domain.rule.task.ShouldHaveScheduleInsideOfAgentJourney",40,3,3,7,10,4,14,5,2
"me.umov.business.infrastructure.jpa.CustomFieldSubTypeConverterTest",40,2,2,2,11,1,0,1,0
"me.umov.business.infrastructure.serialization.LocalTimeSerializationAdapterTest",39,6,6,6,6,0,0,0,0
"me.umov.business.domain.itinerary.specification.ShouldHaveStartDateLessThanEndDateTest",39,4,4,4,12,3,0,3,1
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeAgentsRelationWithTeamsTest",39,3,3,3,13,6,0,6,1
"me.umov.business.domain.itinerary.specification.ShouldValidateMultipleActivitiesOriginTest",39,3,3,3,13,5,0,5,1
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeTeamsRelationWithAgentsTest",39,3,3,3,13,6,0,6,1
"me.umov.business.application.interceptor.InterceptorConfigTest",39,2,2,2,16,3,0,3,4
"me.umov.business.taskschedule.application.dto.ItineraryServiceLocalRelationship",38,8,8,8,4,1,7,2,2
"me.umov.business.application.service.ServiceLocalServiceTest",38,3,3,3,12,3,0,3,3
"me.umov.business.domain.itinerary.specification.WorkCycleScheduleValidatorTest",38,2,2,2,12,3,0,3,4
"me.umov.business.application.model.fixture.WorkCycleFixture",37,8,8,8,3,3,3,3,1
"me.umov.business.domain.itinerary.specification.ShouldValidateAutomaticActivityLoadConfigTest",37,3,3,3,12,5,0,5,1
"me.umov.business.application.controller.TaskTypeControllerTest",37,3,3,3,12,2,0,2,3
"me.umov.business.application.service.TaskTypeServiceTest",37,3,3,3,12,3,0,3,3
"me.umov.business.domain.rule.customfield.ShouldHaveValidMultimidiaURLCustomFields",37,3,3,6,9,4,4,5,4
"me.umov.business.application.interceptor.InterceptorConfig",37,3,3,3,9,0,1,1,3
"me.umov.business.application.repository.custom.task.TaskQueryBuilder",37,3,3,3,1,0,0,0,0
"me.umov.business.infrastructure.servicelocal.ServiceLocalDAOImpl",37,2,2,3,10,4,0,5,2
"me.umov.business.domain.itinerary.ItineraryActivityOriginTest",36,6,6,6,3,0,0,0,0
"me.umov.business.domain.recurrence.DateIntervalTest",36,4,4,4,9,1,0,1,0
"me.umov.business.domain.event.DomainEventRegistry",36,4,1,6,5,0,5,1,1
"me.umov.business.application.model.type.DayOfWeekTest",36,3,3,3,3,0,0,0,0
"me.umov.business.infrastructure.serialization.LocalDateTimeSerializationAdapter",36,2,2,8,11,0,7,3,2
"me.umov.business.infrastructure.jpa.workcycle.WorkCycleGeneratorImpl",36,2,2,2,8,2,0,5,1
"me.umov.business.architecture.UtilsTest",36,1,0,1,8,0,0,1,3
"me.umov.business.taskschedule.api.TaskScheduleGroupController",36,1,1,1,16,6,0,6,3
"me.umov.business.domain.rule.task.ShouldHaveValidFinalHour",35,5,3,6,7,3,9,5,1
"me.umov.business.infrastructure.jpa.LongArrayTypeTest",35,4,4,4,9,0,0,0,1
"me.umov.business.domain.rule.task.ShouldHaveValidTaskTypeTest",35,4,4,4,8,3,0,3,0
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolio",35,4,3,6,8,4,9,6,2
