"type","dep","i-dep","fan-in","fan-out"
"me.umov.business.taskschedule.anticorruption.relationship.ActivityRelationshipConverter",11,8,0,9
"me.umov.business.infrastructure.agent.AgentDAOImplTest",13,4,0,4
"me.umov.business.application.controller.agent.AgentController",21,7,2,8
"me.umov.business.application.service.notification.TaskNotificationService",11,8,2,9
"me.umov.business.application.model.dto.AgentJourneyHoursDTO",4,1,7,2
"me.umov.business.domain.rule.task.ShouldHaveServiceLocalTest",8,3,0,3
"me.umov.business.domain.event.DomainEventRegistryTest",9,0,0,2
"me.umov.business.infrastructure.activity.ActivityDAOImplTest",12,2,0,2
"me.umov.business.application.model.idiom.IdiomEntry",13,2,2,3
"me.umov.business.taskschedule.application.controller.CronController",15,6,1,6
"me.umov.business.infrastructure.serialization.LocalDateTimeSerializationAdapterTest",7,0,0,0
"me.umov.business.infrastructure.serialization.GsonConfigurationTest",10,0,0,1
"me.umov.business.domain.rule.customfield.ShouldHaveRequiredCustomFieldsTest",12,5,0,5
"me.umov.business.domain.itinerary.specification.ShouldHaveItineraryInitialDateGreaterThanTodayTest",13,2,0,2
"me.umov.business.domain.itinerary.specification.ShouldValidateItineraryActivitiesOriginWithoutActivitiesTest",13,5,0,5
"me.umov.business.infrastructure.team.TeamDAOImplTest",11,2,0,2
"me.umov.business.application.service.toggle.FeatureToggleServiceTest",18,6,0,6
"me.umov.business.domain.activityHistory.ActivityHistory",4,1,4,2
"me.umov.business.domain.rule.task.ShouldHaveTeamExecutionWhenTeamIsSelectedTest",12,4,0,4
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeAgentsRelationWithoutAgentsTest",12,5,0,5
"me.umov.business.domain.rule.task.ShouldHaveValidActivitiesAssociated",12,4,16,5
"me.umov.business.application.repository.custom.task.TaskRepositoryCustomImpl",8,1,0,4
"me.umov.business.application.model.dto.RuleRequestDTO",3,0,6,0
"me.umov.business.domain.servicelocal.ServiceLocal",2,0,6,0
"me.umov.business.application.controller.workcycle.CreateWorkCycleRequest",4,0,1,0
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleConverterFactoryTest",9,2,0,2
"me.umov.business.application.observer.TaskSavedObserverTest",10,3,0,3
"me.umov.business.domain.itinerary.specification.ShouldValidateAgentRelationEqualsAllAgentsTest",13,6,0,6
"me.umov.business.application.model.CommonCustomFieldConfig",2,0,5,0
"me.umov.business.application.controller.servicelocal.ServiceLocalRequest",1,0,1,0
"me.umov.business.application.api.ProcessApiReturn",4,0,3,1
"me.umov.business.taskschedule.anticorruption.relationship.AgentRelationshipConverter",11,8,0,9
"me.umov.business.application.exception.BusinessValidationException",8,3,29,6
"me.umov.business.domain.itinerary.specification.ShouldValidateTeamsByRelationTest",9,2,0,2
"me.umov.business.infrastructure.jpa.CustomFieldTypeConverterTest",12,1,0,1
"me.umov.business.infrastructure.servicelocal.ServiceLocalDAOImplTest",11,3,0,3
"me.umov.business.application.service.AgentServiceTest",14,4,0,4
"me.umov.business.domain.model.builder.BaseLoader",8,6,1,7
"me.umov.business.infrastructure.serialization.HibernateProxyTypeAdapter",9,0,1,2
"me.umov.business.domain.rule.task.ShouldHaveValidFinalHourTest",11,3,0,3
"me.umov.business.domain.generic.specification.ShouldHaveUniqueDescription",9,3,4,6
"me.umov.business.domain.recurrence.DateInterval",2,0,12,1
"me.umov.business.application.model.dto.CustomFieldValueDTO",1,1,3,1
"me.umov.business.application.model.Event",3,0,4,0
"me.umov.business.domain.task.TaskDailyResumeTest",7,0,0,0
"me.umov.business.domain.rule.task.ShouldHaveScheduleInsideOfAgentJourney",10,4,14,5
"me.umov.business.infrastructure.jpa.CustomFieldSubTypeConverterTest",11,1,0,1
"me.umov.business.infrastructure.serialization.LocalTimeSerializationAdapterTest",6,0,0,0
"me.umov.business.domain.itinerary.specification.ShouldHaveStartDateLessThanEndDateTest",12,3,0,3
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeAgentsRelationWithTeamsTest",13,6,0,6
"me.umov.business.domain.itinerary.specification.ShouldValidateMultipleActivitiesOriginTest",13,5,0,5
"me.umov.business.domain.itinerary.specification.ShouldValidateSomeTeamsRelationWithAgentsTest",13,6,0,6
"me.umov.business.application.interceptor.InterceptorConfigTest",16,3,0,3
"me.umov.business.taskschedule.application.dto.ItineraryServiceLocalRelationship",4,1,7,2
"me.umov.business.application.service.ServiceLocalServiceTest",12,3,0,3
"me.umov.business.domain.itinerary.specification.WorkCycleScheduleValidatorTest",12,3,0,3
"me.umov.business.application.model.fixture.WorkCycleFixture",3,3,3,3
"me.umov.business.domain.itinerary.specification.ShouldValidateAutomaticActivityLoadConfigTest",12,5,0,5
"me.umov.business.application.controller.TaskTypeControllerTest",12,2,0,2
"me.umov.business.application.service.TaskTypeServiceTest",12,3,0,3
"me.umov.business.domain.rule.customfield.ShouldHaveValidMultimidiaURLCustomFields",9,4,4,5
"me.umov.business.application.interceptor.InterceptorConfig",9,0,1,1
"me.umov.business.application.repository.custom.task.TaskQueryBuilder",1,0,0,0
"me.umov.business.infrastructure.servicelocal.ServiceLocalDAOImpl",10,4,0,5
"me.umov.business.domain.itinerary.ItineraryActivityOriginTest",3,0,0,0
"me.umov.business.domain.recurrence.DateIntervalTest",9,1,0,1
"me.umov.business.domain.event.DomainEventRegistry",5,0,5,1
"me.umov.business.application.model.type.DayOfWeekTest",3,0,0,0
"me.umov.business.infrastructure.serialization.LocalDateTimeSerializationAdapter",11,0,7,3
"me.umov.business.infrastructure.jpa.workcycle.WorkCycleGeneratorImpl",8,2,0,5
"me.umov.business.architecture.UtilsTest",8,0,0,1
"me.umov.business.taskschedule.api.TaskScheduleGroupController",16,6,0,6
"me.umov.business.domain.rule.task.ShouldHaveValidFinalHour",7,3,9,5
"me.umov.business.infrastructure.jpa.LongArrayTypeTest",9,0,0,0
"me.umov.business.domain.rule.task.ShouldHaveValidTaskTypeTest",8,3,0,3
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolio",8,4,9,6
"me.umov.business.application.observer.BeforeTaskSaveObserverTest",10,4,0,4
"me.umov.business.domain.rule.customfield.ShouldHaveValidGeocoordinateCustomFields",8,4,4,5
"me.umov.business.domain.rule.task.ShouldNotHaveAgentTest",12,6,0,6
"me.umov.business.infrastructure.serialization.LocalTimeSerializationAdapter",11,0,7,3
"me.umov.business.application.model.fixture.SystemParametersFixture",4,1,6,1
"me.umov.business.infrastructure.serialization.LocalDateSerializationAdapterTest",8,1,0,1
"me.umov.business.application.model.fixture.AddressFixture",2,2,3,2
"me.umov.business.utils.specification.domain.BaseValidatorTest",5,0,0,1
"me.umov.business.application.service.ActivityServiceTest",14,3,0,3
"me.umov.business.taskschedule.anticorruption.relationship.RelationshipFactory",8,4,0,5
"me.umov.business.application.model.fixture.AgentModelFixture",3,2,15,2
"me.umov.business.application.controller.agent.AgentRelationship",1,0,7,1
"me.umov.business.utils.specification.domain.SpecificationResult",4,0,41,0
"me.umov.business.domain.rule.customfield.ShouldHaveRequiredCustomFields",7,4,8,5
"me.umov.business.domain.rule.task.ShouldInitiateTodayTest",11,4,0,4
"me.umov.business.domain.activityHistory.ActivityHistoryServiceImplTest",9,3,0,3
"me.umov.business.domain.itinerary.ItineraryCronService",5,2,2,2
"me.umov.business.domain.itinerary.ItineraryScheduleCronService",5,2,5,2
"me.umov.business.anticorruption.servicelocal.ServiceLocalConverterImpl",7,5,0,6
"me.umov.business.application.repository.custom.ActivityRepositoryImpl",8,1,0,2
"me.umov.business.architecture.GeneralTest",8,0,0,0
"me.umov.business.application.model.dto.AgentTaskDTO",1,0,2,0
"me.umov.business.application.model.fixture.WorkJourneyDayModelFixture",3,1,2,1
"me.umov.business.application.model.fixture.WorkJourneyModelFixture",7,2,3,2
"me.umov.business.application.model.toggle.FeatureToggle",4,2,3,3
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleCreateConverter",6,3,1,5
"me.umov.business.domain.rule.task.ShouldHaveValidInitialDate",7,3,9,4
"me.umov.business.infrastructure.jpa.AgentPorfolioValidationConverterTest",7,1,0,1
"me.umov.business.domain.rule.task.ShouldBeInPreparationTest",10,4,0,4
"me.umov.business.application.controller.activityhistory.ActivityHistoryControllerTest",10,2,0,2
"me.umov.business.application.service.IntegrationService",8,5,9,8
"me.umov.business.application.controller.workcycle.ReplaceWorkCycleServiceLocalRequest",0,0,0,0
"me.umov.business.application.model.fixture.ServiceLocalModelFixture",1,1,10,1
"me.umov.business.application.model.fixture.CustomFieldValueModelFixture",1,1,6,1
"me.umov.business.application.controller.servicelocal.ServiceLocalRelationship",1,0,1,0
"me.umov.business.application.model.fixture.RecurrenceConfigurationFixture",5,3,3,3
"me.umov.business.application.model.fixture.TaskRecurrenceConfigurationFixture",5,3,3,3
"me.umov.business.application.model.type.TaskSituationTest",3,0,0,1
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeam",8,5,5,6
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDate",8,5,8,6
"me.umov.business.domain.rule.task.ShouldHaveTeamTest",9,4,0,4
"me.umov.business.domain.rule.task.ShouldBeActiveTest",9,4,0,4
"me.umov.business.infrastructure.jpa.LocalTimeConverter",6,0,2,2
"me.umov.business.application.controller.workcycle.CreateWorkCycleResponse",1,0,1,0
"me.umov.business.utils.specification.rule.RuleMessageTest",6,1,0,1
"me.umov.business.utils.specification.domain.SpecificationResultTest",7,1,0,1
"me.umov.business.utils.specification.domain.AndSpecificationTest",8,3,0,3
"me.umov.business.domain.itinerary.specification.ShouldHaveItineraryScheduleInitialDateGreaterThanTodayTest",8,3,0,3
"me.umov.business.domain.rule.task.ShouldHaveServiceLocal",7,4,7,5
"me.umov.business.application.interceptor.JWTAuthorizationInterceptor",8,1,1,3
"me.umov.business.domain.itinerary.specification.ShouldServiceLocalHaveFinalHourGreaterThenInitialHour",14,6,1,8
"me.umov.business.application.controller.servicelocal.ServiceLocalController",13,5,1,6
"me.umov.business.application.model.fixture.RuleRequestDTOFixture",3,1,3,1
"me.umov.business.application.model.fixture.CustomFieldModelFixture",3,1,5,1
"me.umov.business.application.model.fixture.TaskActivityModelFixture",3,3,4,3
"me.umov.business.application.controller.team.TeamRelationship",2,1,4,3
"me.umov.business.application.model.dto.AgentJourneyHoursDTOTest",4,1,0,2
"me.umov.business.application.exception.DeleteException",5,1,4,4
"me.umov.business.utils.specification.domain.OrSpecificationTest",7,3,0,3
"me.umov.business.domain.rule.task.ShouldHaveValidTeamTest",8,3,0,3
"me.umov.business.domain.rule.task.ShouldHaveValidAgentTest",8,3,0,3
"me.umov.business.infrastructure.cron.RundeckRestConfiguration",10,1,1,3
"me.umov.business.domain.rule.task.ShouldHaveValidAgent",7,4,6,5
"me.umov.business.domain.rule.task.ShouldHaveValidTeam",7,4,5,5
"me.umov.business.domain.rule.task.ShouldHaveValidTaskType",7,4,6,5
"me.umov.business.infrastructure.jpa.ExportSituationConverterTest",7,1,0,1
"me.umov.business.utils.specification.rule.RuleMessage",3,0,50,0
"me.umov.business.application.controller.activity.ActivityRelationship",1,0,7,1
"me.umov.business.domain.rule.task.ShouldHaveTeamExecutionWhenTeamIsSelected",7,4,5,5
