"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.jaiminho.fixture.AgentFixture",25,5,5,5,1,1,2,1,1
"me.umov.jaiminho.fixture.ServiceLocalFixture",25,5,5,5,1,1,2,1,1
"me.umov.jaiminho.infrastructure.email.AwsSesMailAdapter",25,3,1,3,4,1,1,3,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.GeneralSettings",24,6,6,6,0,0,3,0,3
"me.umov.jaiminho.fixture.NotificationMessageFixture",24,4,4,4,5,5,3,5,2
"me.umov.jaiminho.infrastructure.dao.entity.Client",24,4,4,4,3,0,1,0,2
"me.umov.jaiminho.application.dto.ReprocessExecuted",24,4,4,4,2,1,1,2,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryMapper",24,2,0,5,5,3,0,6,3
"me.umov.jaiminho.application.observer.CleanNotificationDocument",24,2,2,4,7,4,0,6,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.CallbackParameters",23,6,6,6,0,0,6,1,2
"me.umov.jaiminho.fixture.AttributeFixture",23,5,5,5,1,1,12,1,1
"me.umov.jaiminho.infrastructure.util.EncoderURLService",23,3,1,3,4,0,2,2,1
"me.umov.jaiminho.infrastructure.producer.aws.SendMessageTest",23,2,2,2,3,0,0,0,1
"me.umov.jaiminho.infrastructure.dao.SMSImplDao",23,2,2,3,4,2,0,3,3
"me.umov.jaiminho.anticorruption.xstreamadapter.core.CallbackTranslatorMessage",23,1,1,1,9,7,2,8,2
"me.umov.jaiminho.domain.Email",23,1,1,1,6,3,1,4,3
"me.umov.jaiminho.domain.model.RecipientTest",22,3,3,3,3,0,0,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ServiceLocalMapper",22,3,0,4,3,2,0,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.AgentMapper",22,3,0,4,3,2,0,3,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.HistoryItemMapper",22,2,0,3,5,4,1,6,1
"me.umov.jaiminho.infrastructure.http.authentication.FactorAuthenticationService",22,2,1,3,7,5,1,7,1
"me.umov.jaiminho.application.event.ApplicationEventRegistry",22,2,1,6,4,1,8,2,1
"me.umov.jaiminho.architecture.AnticorruptionTest",22,0,0,1,8,2,0,2,2
"me.umov.jaiminho.anticorruption.aws.AWSFactory",21,1,1,3,5,3,0,5,2
"me.umov.jaiminho.infrastructure.dao.document.EventState",21,1,1,1,3,0,1,0,6
"me.umov.jaiminho.domain.Callback",21,1,1,1,7,5,0,6,2
"me.umov.jaiminho.domain.validators.MailValidator",21,1,0,1,7,4,2,5,3
"me.umov.jaiminho.fixture.ActionRuleFixture",20,4,4,4,2,2,2,2,1
"me.umov.jaiminho.fixture.RecipientsFixture",20,4,4,4,2,2,3,2,1
"me.umov.jaiminho.fixture.CallbackCredentialsFixture",20,4,4,4,1,1,2,1,2
"me.umov.jaiminho.domain.event.trigger.NotificationNotPerformed",20,4,4,4,1,1,0,3,1
"me.umov.jaiminho.infrastructure.configuration.MailSenderConfigurationTest",20,2,2,2,5,0,0,0,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.service.UrlShortenerAdapter",20,2,1,2,3,0,3,2,0
"me.umov.jaiminho.anticorruption.xstreamadapter.facade.TranslatorFactory",20,1,1,2,6,3,0,4,2
"me.umov.jaiminho.domain.SMS",20,1,1,1,6,4,0,5,2
"me.umov.jaiminho.fixture.ActionFixture",19,4,4,4,1,1,3,1,1
"me.umov.jaiminho.fixture.HistoryItemFixture",19,4,4,4,1,1,2,1,1
"me.umov.jaiminho.fixture.HistoryFixture",19,4,4,4,1,1,2,1,1
"me.umov.jaiminho.fixture.CallbackParametersFixture",19,4,4,4,1,1,2,1,1
"me.umov.jaiminho.infrastructure.dao.document.Credentials",19,4,4,4,0,0,0,0,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.TaskMapper",19,3,0,3,2,2,0,3,2
"me.umov.jaiminho.infrastructure.email.MailSenderFactory",19,1,1,2,6,2,0,2,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementMessage",18,3,1,5,3,3,5,5,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementActivityLink",18,2,0,2,4,3,0,5,0
"me.umov.jaiminho.application.controller.VersionController",18,2,2,2,4,0,0,1,1
"me.umov.jaiminho.infrastructure.http.authentication.MFAFactory",18,1,1,2,6,4,0,4,1
"me.umov.jaiminho.domain.validators.SmsValidator",18,1,0,1,6,3,2,4,2
"me.umov.jaiminho.infrastructure.dao.HistoryImplDAO",17,2,2,2,3,1,0,2,2
"me.umov.jaiminho.anticorruption.xstreamadapter.core.converters.GeneralSettingsConverter",17,1,0,3,4,1,2,2,0
"me.umov.jaiminho.infrastructure.dao.CustomFieldValueDao",17,1,1,1,4,1,4,2,0
"me.umov.jaiminho.domain.model.MultipleFactorAuthentication",16,4,4,4,0,0,4,0,3
