"type","dep","i-dep","fan-in","fan-out"
"one.util.huntbugs.testdata.TestEmptySync",2,0,0,1
"one.util.huntbugs.testdata.TestExceptionalExpression",1,0,0,2
"one.util.huntbugs.detect.UnreachableCatch",7,2,0,2
"one.util.huntbugs.FilteredRepositoryTest",7,4,0,4
"one.util.huntbugs.testdata.TestVolatileArray",2,0,0,1
"one.util.huntbugs.testdata.TestInitializerRefersSubclass",2,0,1,2
"one.util.huntbugs.sample.testdata.TestSampleCustomDetector",6,0,0,0
"one.util.huntbugs.sample.detect.SampleCustomDetector",7,2,0,2
"one.util.huntbugs.warning.rule.CompositeRule",2,1,2,2
"one.util.huntbugs.warning.rule.RegexRule",2,1,2,2
"one.util.huntbugs.testdata.TestDroppedExceptionObject",2,0,0,2
"one.util.huntbugs.flow.Dataflow",1,0,4,0
"one.util.huntbugs.warning.rule.CategoryRule",1,1,2,2
"one.util.huntbugs.util.TestIterables",3,0,0,0
"one.util.huntbugs.repo.AuxRepository",1,0,3,1
"one.util.huntbugs.testdata.TestNewGetClass",2,0,2,2
"one.util.huntbugs.sample.MyProductionCodeTest",3,0,0,0
"one.util.huntbugs.util.Maps",3,0,2,4
"one.util.huntbugs.OptionsTest",3,1,0,1
"one.util.huntbugs.testdata.TestJcipProblems",3,0,0,0
"one.util.huntbugs.output.CombinedReportWriter",2,0,0,1
"one.util.huntbugs.registry.FieldData",1,0,0,0
"one.util.huntbugs.sample.SampleHuntBugsPlugin",1,1,0,2
"one.util.huntbugs.flow.CodeBlock",1,0,6,0
"one.util.huntbugs.warning.rule.Rule",1,1,5,1
"one.util.huntbugs.testdata.sub.SubFieldAccess",1,1,0,2
"one.util.huntbugs.analysis.HuntBugsResult",3,2,8,2
"one.util.huntbugs.DataTest",2,1,0,1
"one.util.huntbugs.testdata.TestBadMethodReferences",2,0,0,2
"one.util.huntbugs.sample.DataTest",2,1,0,1
"one.util.huntbugs.flow.Inf",0,0,21,0
"one.util.huntbugs.flow.GraphSearch",2,0,1,0
"one.util.huntbugs.sample.MyProductionCode",2,0,1,0
"one.util.huntbugs.repo.RepositoryVisitor",0,0,2,0
"one.util.huntbugs.spi.HuntBugsPlugin",0,0,3,0
"one.util.huntbugs.analysis.AnalysisListener",0,0,0,0
"one.util.huntbugs.output.ReportWriter",1,0,3,0
