"method","loc","cyclo","calls","nbd","param"
"one.util.huntbugs.detect.StringUsage.visit(Expression node, MethodContext mc, MethodDefinition md)",27,11,30,4,3
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.fromSource(ContextValues ctx, Expression expr)",26,11,9,4,2
"one.util.huntbugs.detect.KnownComparison.visit(Expression expr, MethodContext mc)",23,11,29,4,2
"one.util.huntbugs.detect.StringConcatInLoop.getAppendSource(Expression expr)",29,11,25,3,1
"one.util.huntbugs.repo.JarRepository.visit(String rootPackage, RepositoryVisitor visitor)",26,11,22,3,2
"one.util.huntbugs.util.Equi.equiOperands(Object left, Object right, EquiContext ctx)",26,11,9,3,3
"one.util.huntbugs.flow.FrameContext.getInitialExpression(JvmType simpleType)",21,11,4,3,1
"one.util.huntbugs.detect.EasyMockProblems.visit(Expression expr, MethodContext mc)",15,11,24,3,2
"one.util.huntbugs.detect.NumericComparison.checkRem2Eq1(MethodContext mc, JvmType jvmType, AstCode code, Expression arg, long constant)",15,11,18,3,5
"one.util.huntbugs.util.Types.isInstance(TypeReference type, String wantedType)",23,11,14,2,2
"one.util.huntbugs.util.Types.mergeTypes(TypeReference t1, TypeReference t2)",22,11,17,2,2
"one.util.huntbugs.detect.InitializerRefersSubclass.visit(Expression expr, NodeChain nc, MethodContext mc, TypeDefinition td)",15,11,15,2,4
"one.util.huntbugs.detect.InfiniteRecursion.checkControlFlow(NodeChain nc)",14,11,5,2,1
"one.util.huntbugs.warning.WarningAnnotation$TypeInfo.getSimpleName()",37,11,5,1,0
"one.util.huntbugs.flow.etype.SingleType.of(TypeReference tr, What what)",19,11,9,1,2
"one.util.huntbugs.util.Annotations.hasAnnotation(IAnnotationsProvider fd, boolean ignoreDeprecated)",16,11,13,1,2
"one.util.huntbugs.testdata.TestKnownComparison.testNestedForFor()",23,10,5,7,0
"one.util.huntbugs.flow.CFG.isAlwaysReachable(BasicBlock from, Set<BasicBlock> targets)",23,10,7,6,2
"one.util.huntbugs.detect.BadMath.isLow8BitsClear(Expression arg)",19,10,16,6,1
"one.util.huntbugs.registry.Detector.Detector(Map<String,WarningType> wts, Class<?> clazz, DatabaseRegistry databases)",28,10,19,4,3
"one.util.huntbugs.registry.MethodContext.report(String warning, int priority, Node node, Collection<WarningAnnotation<?>> annotations)",33,10,25,3,4
"one.util.huntbugs.flow.etype.AndType.reduce()",29,10,1,3,0
"one.util.huntbugs.util.Equi.equiTryCatch(TryCatchBlock leftTry, TryCatchBlock rightTry, EquiContext ctx)",26,10,25,3,3
"one.util.huntbugs.warning.Formatter.formatLong(long value, String format)",25,10,14,3,2
"one.util.huntbugs.detect.RegexProblems.checkRegexp(MethodContext mc, Expression regexExpr, int flags)",24,10,22,3,3
"one.util.huntbugs.detect.SerializationIdiom.visitClass(TypeDefinition td, ClassContext cc)",20,10,12,3,2
"one.util.huntbugs.detect.CovariantArrays.allImplementationsDerivedFromSubclass(Hierarchy h, TypeReference superClass, TypeReference subClass)",16,10,15,3,3
"one.util.huntbugs.detect.SwingProblems.visit(Expression expr, NodeChain nc, MethodContext mc)",14,10,19,3,3
"one.util.huntbugs.flow.etype.OrType.is(TypeReference tr, boolean exact)",26,10,1,2,2
"one.util.huntbugs.flow.etype.OrType.isArray()",26,10,1,2,0
"one.util.huntbugs.detect.CompareContract.check(MethodDefinition md, TypeDefinition td)",11,10,15,2,2
"one.util.huntbugs.detect.LockProblems.visit(Expression expr, MethodContext mc)",18,10,18,1,2
"one.util.huntbugs.util.Methods.findSuperMethod(TypeDefinition type, MemberInfo mi)",25,9,8,8,2
"one.util.huntbugs.testdata.TestKnownComparison.testNestedForForSwitch(boolean b)",27,9,7,7,1
"one.util.huntbugs.util.NodeChain.isInTry(String... wantedExceptions)",17,9,18,5,1
"one.util.huntbugs.detect.FieldAccess.checkNull(FieldContext fc, FieldDefinition fd, TypeDefinition td, FieldRecord fieldRecord, int flags)",17,9,13,5,5
"one.util.huntbugs.flow.SourceAnnotator.isExprEqual(Expression left, Expression right)",17,9,7,5,2
"one.util.huntbugs.detect.BadMethodCalls.isToStringCall(String typeName, String name, String signature)",9,9,8,5,3
"one.util.huntbugs.flow.ETypeAnnotator$ETypeDataflow.fromSource(ContextTypes ctx, Expression expr)",28,9,11,4,2
"one.util.huntbugs.detect.ExclusiveConditions.checkEqual(Expression equality, Expression other, MethodContext mc)",27,9,23,4,3
"one.util.huntbugs.detect.ExclusiveConditions.checkNonEqual(Expression equality, Expression other, MethodContext mc)",27,9,23,4,3
"one.util.huntbugs.detect.ExclusiveConditions.visit(Expression expr, MethodContext mc)",24,9,20,4,2
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.getArrayLength(Expression expression)",23,9,17,4,1
"one.util.huntbugs.detect.StartInConstructor.visit(Expression expr, NodeChain nc, MethodContext mc, TypeHierarchy th)",21,9,15,4,4
"one.util.huntbugs.detect.UncalledPrivateMethod.extractCalls(MethodDefinition md, Predicate<MethodReference> action)",20,9,8,4,2
"one.util.huntbugs.detect.RoughConstant.getPriority(BadConstant badConstant, Number constValue, double candidate)",19,9,3,4,3
"one.util.huntbugs.flow.NullAnnotator$ContextNulls.merge(ContextNulls other)",18,9,8,4,1
"one.util.huntbugs.detect.NoRuntimeRetention.visit(Expression expr, MethodContext mc, DeclaredAnnotations da)",16,9,19,4,3
"one.util.huntbugs.warning.Formatter.formatMemberInfo(MemberInfo mi, String format)",25,9,24,3,2
"one.util.huntbugs.registry.MethodData.getLocation(Node node)",25,9,15,3,1
"one.util.huntbugs.detect.SyncGetClass.visit(Node node, MethodContext mc, TypeHierarchy th, TypeDefinition td)",16,9,10,3,4
"one.util.huntbugs.util.Nodes.isComparison(Node node)",14,9,3,3,1
"one.util.huntbugs.detect.Naming.checkSameAsConstructor(Block root, MethodDefinition md, TypeDefinition td, MethodContext mc)",15,9,21,2,4
"one.util.huntbugs.detect.ToArrayDowncast.visit(Expression expr, MethodContext mc)",18,9,20,0,2
"one.util.huntbugs.testdata.TestKnownComparison.testNestedSwitch(int i, int j)",25,8,2,7,2
"one.util.huntbugs.filter.AnnotationFilters.forType(TypeDefinition td)",30,8,33,6,1
"one.util.huntbugs.flow.CFG$BasicBlock.targetsExcept(EdgeType type)",25,8,14,6,1
"one.util.huntbugs.db.DeclaredAnnotations.visitType(TypeDefinition td)",20,8,13,6,1
"one.util.huntbugs.flow.CFG.verify()",15,8,11,6,0
"one.util.huntbugs.detect.EmptySync.visit(Node node, MethodContext mc)",20,8,14,5,2
"one.util.huntbugs.flow.SourceAnnotator$Frame.isEqual(Frame left, Frame right)",20,8,14,5,2
"one.util.huntbugs.registry.DetectorRegistry.sortMethods(List<MethodDefinition> declMethods)",17,8,11,5,1
"one.util.huntbugs.detect.ArrayRangeCheck.getMaxLength(Expression expression)",25,8,16,4,1
"one.util.huntbugs.detect.CompareUsage.visit(Expression expr, MethodContext mc)",20,8,15,4,2
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpEq(Expression expr)",17,8,15,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpGe(Expression expr)",17,8,15,4,1
