"method","loc","cyclo","calls","nbd","param"
"edu.umd.cs.findbugs.detect.FindSelfComparison.checkForSelfOperation(int opCode, String op)",73,25,52,5,2
"edu.umd.cs.findbugs.detect.ConfusionBetweenInheritedAndOuterMethod.sawOpcode(int seen)",76,25,57,4,1
"edu.umd.cs.findbugs.detect.FindBadForLoop.sawOpcode(int seen)",37,25,24,4,1
"edu.umd.cs.findbugs.detect.SynchronizingOnContentsOfFieldToProtectField.sawOpcode(int seen)",84,25,17,3,1
"edu.umd.cs.findbugs.detect.InitializationChain.sawOpcode(int seen)",51,24,41,5,1
"edu.umd.cs.findbugs.detect.FindNullDeref.foundNullDeref(Location location, ValueNumber valueNumber, IsNullValue refValue, ValueNumberFrame vnaFrame, boolean isConsistent)",73,24,34,4,5
"edu.umd.cs.findbugs.gui2.MainFrameMenu.setViewMenu()",176,24,84,3,0
"edu.umd.cs.findbugs.detect.BadSyntaxForRegularExpression.sawOpcode(int seen)",29,24,44,3,1
"edu.umd.cs.findbugs.detect.FindNonShortCircuit.scanForBooleanValue(int seen)",60,24,6,2,1
"edu.umd.cs.findbugs.PrintingBugReporter.main(String[] args)",105,23,56,6,1
"edu.umd.cs.findbugs.classfile.engine.bcel.FinallyDuplicatesInfoFactory$TryBlock.update(BitSet exceptionTargets, BitSet branchTargets, InstructionList il, Set<Integer> finallyTargets, BitSet usedTargets)",73,23,39,6,5
"edu.umd.cs.findbugs.detect.SynchronizeOnClassLiteralNotGetClass.sawOpcode(int seen)",77,23,27,5,1
"edu.umd.cs.findbugs.ba.IncompatibleTypes.getPriorityForAssumingCompatible(boolean pointerEquality, ClassDescriptor lhsDescriptor, ClassDescriptor rhsDescriptor)",63,23,32,5,3
"edu.umd.cs.findbugs.ba.obl.ObligationAnalysis.meetInto(StateSet fact, Edge edge, StateSet result)",82,23,51,4,3
"edu.umd.cs.findbugs.detect.VolatileUsage.sawOpcode(int seen)",65,23,25,3,1
"edu.umd.cs.findbugs.detect.FindUnsatisfiedObligation$MethodChecker$PostProcessingPathVisitor.checkForPossibleObligationTransfer(InvokeInstruction inv, InstructionHandle handle)",80,22,26,6,2
"edu.umd.cs.findbugs.ba.BetterCFGBuilder2.isPEI(InstructionHandle handle)",75,22,16,6,1
"edu.umd.cs.findbugs.visitclass.PrintClass.main(String argv[])",65,22,20,6,1
"edu.umd.cs.findbugs.ba.npe.NullDerefAndRedundantComparisonFinder.checkForUnconditionallyDereferencedNullValues(Location thisLocation, Map<ValueNumber,SortedSet<Location>> knownNullAndDoomedAt, Map<ValueNumber,NullValueUnconditionalDeref> nullValueGuaranteedDerefMap, ValueNumberFrame vnaFrame, IsNullValueFrame invFrame, UnconditionalValueDerefSet derefSet, boolean isEdge)",114,22,43,5,7
"edu.umd.cs.findbugs.detect.RepeatedConditionals.sawOpcode(int seen)",72,22,39,5,1
"edu.umd.cs.findbugs.detect.DumbMethods.stackEntryThatMustBeNonnegative(int seen)",39,22,8,5,1
"edu.umd.cs.findbugs.DeepSubtypeAnalysis.isDeepSerializable(JavaClass x)",90,22,34,4,1
"edu.umd.cs.findbugs.detect.InheritanceUnsafeGetResource.sawOpcode(int seen)",48,22,21,4,1
"edu.umd.cs.findbugs.gui2.CloudCommentsPane.updateBugCommentsView()",83,22,51,3,0
"edu.umd.cs.findbugs.detect.FindSelfComparison2.checkForSelfOperation(ClassContext classContext, Location location, ValueNumberDataflow valueNumberDataflow, String op, Method method, MethodGen methodGen, String sourceFile)",70,22,25,3,7
"edu.umd.cs.findbugs.detect.FindSpinLoop.sawOpcode(int seen)",56,22,17,1,1
"edu.umd.cs.findbugs.workflow.Update.mergeCollections(BugCollection origCollection, BugCollection newCollection, boolean copyDeadBugs, boolean incrementalAnalysis)",148,21,75,6,4
"edu.umd.cs.findbugs.ba.BetterCFGBuilder2.build(Subroutine subroutine)",121,21,47,6,1
"edu.umd.cs.findbugs.detect.RepeatedConditionals.compareCode(int first, int endOfFirstSegment, int second, int endOfSecondSegment, boolean oppositeChecks)",61,21,24,5,5
"edu.umd.cs.findbugs.anttask.FindBugsTask.checkParameters()",42,21,32,4,0
"edu.umd.cs.findbugs.SAXBugCollectionHandler.parseBugInstanceContents(String qName, Attributes attributes)",98,21,50,3,2
"edu.umd.cs.findbugs.detect.CloneIdiom.visitAfter(JavaClass obj)",45,21,20,3,1
