"method","loc","cyclo","calls","nbd","param"
"com.trevisan.umovandroid.sync.extraction.ExtractionManager.extractOnlineQueryRecords(String entityData)",45,9,7,5,1
"com.trevisan.umovandroid.service.TaskService.afterActivityTaskFinish(Task task, ActivityTask activityTask, ActivityHistorical activityHistorical, TaskExecutionManager taskExecutionManager)",38,9,28,5,4
"com.trevisan.umovandroid.service.MediaHistoricalService.getMatrixFromExif(ExifInterface exif)",32,9,11,5,1
"com.trevisan.umovandroid.component.TTUniqueList.findExternalAnswer(String answer)",24,9,15,5,1
"com.trevisan.umovandroid.service.payment.PaymentService.verifyMandatoryPaymentSectionFields()",23,9,8,5,0
"com.trevisan.umovandroid.view.ActivityFieldsNew.onCreateBusiness(Bundle savedInstanceState)",63,9,39,4,1
"com.trevisan.umovandroid.dao.customcriteria.CustomSelectCriteriaLinkedByAllItems.getBaseSQLStatementBySectionLinkedByAllItems(Section section, String[] columns, Criteria criteria, boolean buildStatementForSearch, boolean returnMandatoryField, boolean itemGroupingBySubgroupOrGroupOnlyRetrieveByItemTags, long locationId, boolean showOnlyItemsWithAdditionalInfo)",55,9,22,4,8
"com.trevisan.umovandroid.sync.CommunicationTest.doTest()",54,9,38,4,0
"com.trevisan.umovandroid.dao.TaskDAO.retrieveAllTasksWithoutGroupedByActivityType(int ordinationWayTask, int limit, String orderByTasksForAscOrDesc)",47,9,50,4,3
"com.trevisan.umovandroid.dao.DAO.retrieve(boolean distinct, String[] columns, Criteria criteria, boolean simplified, Integer offset, Integer limit)",45,9,16,4,6
"com.trevisan.umovandroid.view.ActivityConfirmAddNewTaskNew.onConfirmAddNewTasks(View view)",39,9,37,4,1
"com.trevisan.umovandroid.action.ActionActivityFieldsBackMD.doAction()",35,9,31,4,0
"com.trevisan.umovandroid.component.TTImageNew.onClick(View view)",34,9,18,4,1
"com.trevisan.umovandroid.lib.util.CustomFieldManager.getCustomFieldFromJson(String id, JSONObject jsonObjectCustomField)",32,9,29,4,2
"com.trevisan.umovandroid.action.ActionActivityFieldsFinalizeActivity.doAction()",32,9,22,4,0
"com.trevisan.umovandroid.service.ActivityTaskService.canExecuteActivity(ActivityTask activityTask, Task task, Activity activity)",30,9,17,4,3
"com.trevisan.umovandroid.lib.expressions.BooleanCalculator.resolveOperationWithValues(ExpressionValue operandValue1, String operator, ExpressionValue operandValue2)",25,9,31,4,3
"com.trevisan.umovandroid.lib.expressions.operand.Operand.doSubstringOnValue(ExpressionValue expressionValue, String[] attributeIdStartAndEndSubstringIndexes)",25,9,15,4,2
"com.trevisan.umovandroid.adapter.materialdesign.ItemsAdapterForRecyclerViewMD.loadAnswerAndSetVisibilityForReadOnlySectionField(String value, final ViewHolderItem viewHolderItem, boolean mustApplyValueOnReadOnlyComponent, Item item)",24,9,17,4,4
"com.trevisan.umovandroid.action.ActionShowFields.filterFieldsForCurrentPage()",22,9,8,4,0
"com.trevisan.umovandroid.adapter.SectionsAndConferenceAdapter.getFormattedTextAnswer(FieldHistorical fieldHistorical)",40,9,18,3,1
"com.trevisan.umovandroid.service.SuspendedActivityAndTaskService.checkSuspendedActivityIntegrity()",37,9,24,3,0
"com.trevisan.umovandroid.service.MarshmallowOrHigherVersionDangerousPermissionsService.onPermissionsResult(int requestCode, String[] permissions, int[] grantResults)",35,9,7,3,3
