"method","loc","cyclo","calls","nbd","param"
"me.umov.ureport.model.report.PhotoBookReportParameters.getEndTaskExecutionDateFormatted()",2,2,2,2,0
"me.umov.ureport.dao.FilterDAO.findById(Long id)",20,2,22,1,1
"me.umov.ureport.dao.FilterDAO.findAllActiveByAgent()",19,2,20,1,0
"me.umov.ureport.dao.FilterDAO.findAllByAgent()",19,2,20,1,0
"me.umov.ureport.model.User.login(LoginResponse loginResponse, String authorization)",13,2,12,1,2
"me.umov.ureport.service.report.LimitsService.findBy(User user)",12,2,8,1,1
"me.umov.ureport.controller.LoginController.postLogin(String username, String password)",11,2,3,1,2
"me.umov.ureport.service.AuthenticationService.authenticate(String login, String domain, String password)",10,2,13,1,3
"me.umov.ureport.service.report.FilterService.savePermission(Filter filter, FilterDTO filterDTO)",9,2,6,1,2
"me.umov.ureport.service.report.FilterService.build(FilterDTO filterDTO)",8,2,7,1,1
"me.umov.ureport.dao.MediaDAO.save(MediaTags mediaTags)",7,2,4,1,1
"me.umov.ureport.service.report.FilterService.buildFilterEntity(FilterDTO filterDTO)",7,2,3,1,1
"me.umov.ureport.model.User.changeLang(String lang)",6,2,1,1,1
"me.umov.ureport.model.dbview.History.getActivityDescription()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getFormatteExecutionDate()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getTaskFormattedRealInitialDate()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getTaskFormattedScheduledInitialDate()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getTaskId()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getTaskIntegrationId()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getTaskObservation()",5,2,3,1,0
"me.umov.ureport.model.dbview.HistoryValue.getActivityFieldDescription()",5,2,3,1,0
"me.umov.ureport.model.dbview.HistoryValue.getActivitySectionDescription()",5,2,3,1,0
"me.umov.ureport.model.dbview.HistoryValue.getItemDescription()",5,2,3,1,0
"me.umov.ureport.model.dbview.Task.getAgentName()",5,2,3,1,0
"me.umov.ureport.model.dbview.Task.getLocalDescription()",5,2,3,1,0
"me.umov.ureport.model.dbview.History.getAgentName()",5,2,2,1,0
"me.umov.ureport.model.dbview.History.getLocalDescription()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getActivityDescription()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getAgentName()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getFormattedExecutionDate()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getLocalDescription()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskFormattedRealInitialDate()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskFormattedScheduledInitialDate()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskId()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskIntegrationId()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskObservation()",5,2,2,1,0
"me.umov.ureport.model.dbview.HistoryValue.getTaskSituation()",5,2,2,1,0
"me.umov.ureport.service.report.MediaService.save(MediaTags mediaTags)",4,2,3,1,1
"me.umov.ureport.model.dbview.History.getTaskSituation()",4,2,3,1,0
"me.umov.ureport.model.dbview.Task.getFormattedExecutionDate()",4,2,2,1,0
"me.umov.ureport.model.dbview.Task.getFormattedRealInitialDate()",4,2,2,1,0
"me.umov.ureport.persistence.type.JSONParametersType.nullSafeSet(PreparedStatement statement, Object value, int index, SharedSessionContractImplementor session)",6,2,3,0,4
"me.umov.ureport.persistence.type.JSONTagsType.nullSafeSet(PreparedStatement statement, Object value, int index, SharedSessionContractImplementor session)",6,2,3,0,4
"me.umov.ureport.BuildInfo.version()",4,2,5,0,0
"me.umov.ureport.BuildInfo.title()",3,2,5,0,0
"me.umov.ureport.persistence.type.JSONParametersType.nullSafeGet(ResultSet rs, String[] names, SharedSessionContractImplementor session, Object owner)",3,2,2,0,4
"me.umov.ureport.persistence.type.JSONTagsType.nullSafeGet(ResultSet rs, String[] names, SharedSessionContractImplementor session, Object owner)",3,2,2,0,4
