"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"com.puppycrawl.tools.checkstyle.checks.indentation.AbstractExpressionHandler",253,32,5,71,4,3,12,6,5,0.9354838709677419
"com.puppycrawl.tools.checkstyle.api.TokenTypes",253,1,0,1,1,0,314,0,169,0.0
"com.puppycrawl.tools.checkstyle.checks.metrics.AbstractClassCouplingCheck",251,31,13,56,20,6,2,21,13,0.9025641025641026
"com.puppycrawl.tools.checkstyle.filters.SuppressionCommentFilter",250,27,17,66,15,6,7,14,18,0.6987179487179487
"com.puppycrawl.tools.checkstyle.AbstractModuleTestSupport",245,20,4,35,25,4,215,20,3,0.9649122807017543
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheckTest",244,12,11,12,10,6,0,8,0,0.0
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheckTest",244,10,9,10,7,3,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.utils.TokenUtilTest",238,18,18,25,17,3,0,8,0,0.0
"com.puppycrawl.tools.checkstyle.utils.ScopeUtilTest",237,22,20,23,10,3,0,4,0,0.0
"com.google.checkstyle.test.chapter4formatting.rule413emptyblocks.InputEmptyBlockBasic",237,17,16,45,3,0,4,5,1,1.0625
"com.puppycrawl.tools.checkstyle.utils.ModuleReflectionUtilTest",236,39,30,42,21,13,0,23,1,1.0
"com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck",236,20,4,62,7,4,2,7,2,0.9736842105263158
"com.puppycrawl.tools.checkstyle.XMLLogger",236,20,14,48,15,4,24,17,9,0.8304093567251463
"com.puppycrawl.tools.checkstyle.checks.coding.ModifiedControlVariableCheck",235,19,7,76,12,3,3,11,5,0.9888888888888889
"com.puppycrawl.tools.checkstyle.gui.ParseTreeTablePresentationTest",235,18,17,19,13,8,0,10,1,1.0
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheckTest",234,19,18,19,9,6,0,7,0,0.0
"com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck",234,14,5,46,5,4,2,8,2,0.9615384615384616
"com.puppycrawl.tools.checkstyle.checks.header.HeaderCheckTest",233,19,18,19,16,4,1,8,1,1.0555555555555556
"com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.InputCommentsIndentationCommentIsAtTheEndOfBlock",226,53,53,55,0,0,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.filters.SuppressWithNearbyCommentFilter",220,25,13,63,14,6,6,13,16,0.7265625
"com.puppycrawl.tools.checkstyle.checks.indentation.commentsindentation.InputCommentsIndentationInSwitchBlock",219,17,15,80,0,0,0,4,0,0.0
"com.puppycrawl.tools.checkstyle.internal.utils.CheckUtil",219,14,11,39,23,6,6,17,0,0.0
