"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.checks.metrics.npathcomplexity.InputNPathComplexity.testComplexSwitch()",22,11,0,2,0
"com.puppycrawl.tools.checkstyle.checks.metrics.npathcomplexity.InputNPathComplexity.testComplexIfElse()",7,11,0,2,0
"com.puppycrawl.tools.checkstyle.checks.coding.fallthrough.InputFallThrough.tryResource()",65,11,1,1,0
"com.puppycrawl.tools.checkstyle.checks.coding.nofinalizer.InputNoFinalizerFallThrough.tryResource()",65,11,1,1,0
"com.puppycrawl.tools.checkstyle.checks.coding.emptystatement.InputEmptyStatement.EmptyStatements(boolean cond)",62,11,0,1,1
"com.puppycrawl.tools.checkstyle.checks.descendanttoken.InputDescendantTokenEmptyStatement.EmptyStatements(boolean cond)",62,11,0,1,1
"com.google.checkstyle.test.chapter4formatting.rule42blockindentation.InputIndentationCorrectIfAndParameter.fooMethodWithIf()",22,11,17,1,0
"com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.InputIndentationCorrectIfAndParameter.fooMethodWithIf()",22,11,17,1,0
"com.google.checkstyle.test.chapter4formatting.rule4841indentation.InputIndentationCorrectIfAndParameter.fooMethodWithIf()",22,11,17,1,0
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationCorrectIfAndParameter.fooMethodWithIf()",22,11,17,1,0
"com.google.checkstyle.test.chapter4formatting.rule42blockindentation.InputIndentationCorrectIfAndParameter$InnerClassFoo.fooMethodWithIf()",21,11,17,1,0
"com.google.checkstyle.test.chapter4formatting.rule452indentcontinuationlines.InputIndentationCorrectIfAndParameter$InnerClassFoo.fooMethodWithIf()",21,11,17,1,0
"com.google.checkstyle.test.chapter4formatting.rule4841indentation.InputIndentationCorrectIfAndParameter$InnerClassFoo.fooMethodWithIf()",21,11,17,1,0
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationCorrectIfAndParameter$InnerClassFoo.fooMethodWithIf()",21,11,17,1,0
"com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest.examineCheckSubSection(Node subSection, String subSectionName)",19,10,6,5,2
"com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck.visitToken(final DetailAST ast)",60,10,15,4,1
"com.puppycrawl.tools.checkstyle.checks.indentation.LineWrappingHandler.checkIndentation(DetailAST firstNode, DetailAST lastNode, int indentLevel, int startIndent, LineWrappingOptions ignoreFirstLine)",57,10,19,3,5
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck.checkParamTags(final List<JavadocTag> tags, final DetailAST parent, boolean reportExpectedTags)",55,10,24,3,3
"com.puppycrawl.tools.checkstyle.XMLLogger.encode(String value)",45,10,15,3,1
"com.puppycrawl.tools.checkstyle.Checker.processFiles(List<File> files)",45,10,13,3,1
"com.puppycrawl.tools.checkstyle.utils.CheckUtil.parseDouble(String text, int type)",38,10,12,3,2
"com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck.visitToken(DetailAST ast)",27,10,8,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck.visitToken(DetailAST ast)",20,10,9,3,1
"com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck.visitToken(DetailAST ast)",19,10,4,3,1
"com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationInvalidIfIndent.emptyIfTest()",57,10,0,1,0
"com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyEolSwitch.doStuff()",45,10,0,1,0
"com.google.checkstyle.test.chapter4formatting.rule411bracesareused.InputNeedBraces.testIf()",35,10,20,1,0
"com.google.checkstyle.test.chapter4formatting.rule412nonemptyblocks.InputLeftCurlyBraces.testIf()",35,10,20,1,0
"com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyMissingBraces.testIf()",35,10,20,1,0
