"namespace","noc","nac"
"com.google.checkstyle.test.chapter2filebasic.rule232specialescape",2,0
"com.google.checkstyle.test.chapter2filebasic.rule233nonascii",2,0
"com.google.checkstyle.test.chapter3filestructure.rule32packagestate",2,0
"com.google.checkstyle.test.chapter3filestructure.rule331nowildcard",2,0
"com.google.checkstyle.test.chapter3filestructure.rule3421overloadsplit",2,1
"com.google.checkstyle.test.chapter3filestructure.rule3sourcefile",2,1
"com.google.checkstyle.test.chapter4formatting.rule411bracesareused",2,0
"com.google.checkstyle.test.chapter4formatting.rule43onestatement",2,0
"com.google.checkstyle.test.chapter4formatting.rule44columnlimit",2,0
"com.google.checkstyle.test.chapter4formatting.rule461verticalwhitespace",2,1
"com.google.checkstyle.test.chapter4formatting.rule4821onevariableperline",2,0
"com.google.checkstyle.test.chapter4formatting.rule4822variabledistance",2,1
"com.google.checkstyle.test.chapter4formatting.rule4832nocstylearray",2,0
"com.google.checkstyle.test.chapter4formatting.rule4842fallthrough",2,0
"com.google.checkstyle.test.chapter4formatting.rule4843defaultcasepresent",2,1
"com.google.checkstyle.test.chapter4formatting.rule487modifiers",2,1
"com.google.checkstyle.test.chapter4formatting.rule488numericliterals",2,1
"com.google.checkstyle.test.chapter5naming.rule51identifiernames",2,0
"com.google.checkstyle.test.chapter5naming.rule521packagenames",2,0
"com.google.checkstyle.test.chapter5naming.rule522typenames",2,1
"com.google.checkstyle.test.chapter5naming.rule523methodnames",2,1
"com.google.checkstyle.test.chapter5naming.rule53camelcase",2,0
"com.google.checkstyle.test.chapter6programpractice.rule62donotignoreexceptions",2,0
"com.google.checkstyle.test.chapter7javadoc.rule734nonrequiredjavadoc",2,0
"com.sun.checkstyle.test.chapter5comments.rule52documentationcomments",2,0
"com.sun.checkstyle.test.chapter6declarations.rule61numberperline",2,0
"org.checkstyle.base",2,2
"org.checkstyle.suppressionxpathfilter.classmemberimpliedmodifier",2,1
"org.checkstyle.suppressionxpathfilter.cyclomaticcomplexity",2,0
"org.checkstyle.suppressionxpathfilter.declarationorder",2,0
"org.checkstyle.suppressionxpathfilter.defaultcomeslast",2,0
"org.checkstyle.suppressionxpathfilter.emptyforinitializerpad",2,0
"org.checkstyle.suppressionxpathfilter.emptyforiteratorpad",2,0
"org.checkstyle.suppressionxpathfilter.explicitinitialization",2,0
"org.checkstyle.suppressionxpathfilter.fallthrough",2,0
"org.checkstyle.suppressionxpathfilter.hiddenfield",2,0
"org.checkstyle.suppressionxpathfilter.illegalthrows",2,0
"org.checkstyle.suppressionxpathfilter.javadocvariable",2,0
"org.checkstyle.suppressionxpathfilter.multiplevariabledeclarations",2,0
"org.checkstyle.suppressionxpathfilter.npathcomplexity",2,0
"org.checkstyle.suppressionxpathfilter.onestatementperline",2,0
