"type","dep","i-dep","fan-in","fan-out"
"me.umov.refill.builder.widget.customtable.TableColumnDataBuilderTest",13,4,0,4
"me.umov.refill.serialization.GraphicDataRowSerializer",9,1,1,5
"me.umov.refill.core.GraphicRemovalManagerTest",8,1,0,3
"me.umov.refill.builder.chart.ChartDataBuilder",11,5,1,7
"me.umov.refill.fixture.RouteFixture",3,2,7,3
"me.umov.refill.model.ScheduleDBViewEnvironment",4,0,2,1
"me.umov.refill.builder.widget.AverageExecutedTasksPerAgentDataBuilder",17,0,0,1
"me.umov.refill.builder.widget.VisitedLocalsDataBuilder",17,0,0,1
"me.umov.refill.service.RouteDataServiceTest",15,4,0,4
"me.umov.refill.geo.DirectionsService",13,1,0,3
"me.umov.refill.builder.widget.AgentPerformanceDataBuilder",7,2,0,3
"me.umov.refill.injection.SessionFactoryManagerTest",7,0,0,0
"me.umov.refill.serialization.Serializer",9,3,12,4
"me.umov.refill.persistence.RouteResultTransformer",4,2,2,3
"me.umov.refill.model.OnlineFilterOption",1,0,6,0
"me.umov.refill.fixture.FieldFixture",3,1,7,1
"me.umov.refill.builder.widget.TaskExecutionGaugeDataBuilder",7,1,0,2
"me.umov.refill.builder.widget.AgentTasksBySituationTable",7,1,0,2
"me.umov.refill.dao.ScheduleDBViewEnvironmentDaoTest",10,1,0,2
"me.umov.refill.fixture.CustomColumnsFixture",2,2,6,2
"me.umov.refill.types.RouteTransportModeTest",2,0,0,0
"me.umov.refill.builder.widget.AbstractTableDataBuilder",11,5,22,7
"me.umov.refill.builder.widget.DailyExecutedActivitiesDataBuilder",7,2,0,3
"me.umov.refill.builder.widget.CustomHistoryTableDataBuilderTest",13,2,0,2
"me.umov.refill.dao.GraphicDataDao",10,7,2,8
"me.umov.refill.validator.MarkerValidatorTest",5,2,0,2
"me.umov.refill.builder.widget.AgentsWithLessBatteryDataBuilder",12,1,0,2
"me.umov.refill.builder.widget.PeopleWithExecutedTasksDataBuilder",6,1,0,2
"me.umov.refill.builder.widget.LocalsWithTasksDataBuilder",6,1,0,2
"me.umov.refill.builder.widget.PeopleWithTasksDataBuilder",6,1,0,2
"me.umov.refill.builder.widget.LocalsWithoutExecuionsDataBuilder",7,2,0,3
"me.umov.refill.util.ListUtilsTest",7,0,0,0
"me.umov.refill.injection.InjectionModuleTest",10,0,0,0
