"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.refill.builder.widget.TaskExecutionsPerTimeDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.ActivityExecutionsDataBuilder",42,5,1,5,12,5,0,6,0
"me.umov.refill.service.AbstractServiceTest",42,4,4,4,13,2,0,2,2
"me.umov.refill.core.ShutdownSigner",41,5,2,9,3,0,2,6,2
"me.umov.refill.builder.widget.AgentDailyHoursDataBuilder",41,5,1,5,8,2,0,3,0
"me.umov.refill.builder.widget.LocalsWithCheckoutExecutedDataBuilder",41,5,1,5,18,1,0,2,0
"me.umov.refill.builder.widget.AgentDailyResumeTableDataBuilder",41,5,1,5,16,2,0,3,0
"me.umov.refill.builder.widget.LocalsWithAndWithoutExecutionsDataBuilder",41,5,1,5,12,5,0,6,0
"me.umov.refill.builder.widget.PeopleWithExecutedActivitiesDataBuilder",41,5,1,5,18,1,0,2,0
"me.umov.refill.service.GraphicServiceTest",41,4,4,4,12,5,0,5,2
"me.umov.refill.model.column.EntityTest",41,3,3,3,7,2,0,2,0
"me.umov.refill.core.GraphicUpdateWorker",41,3,2,4,6,2,0,5,4
"me.umov.refill.builder.widget.customtable.ActivityCustomColumn",41,3,1,6,9,5,0,7,2
"me.umov.refill.model.map.MarkerInfoTest",41,2,2,2,6,0,0,1,0
"me.umov.refill.builder.map.AbstractMapRouteDataBuilder",40,6,0,7,6,4,3,8,2
"me.umov.refill.core.GraphicUpdateManager",40,4,1,5,6,1,2,5,3
"me.umov.refill.persistence.RouteResultTransformerTest",40,3,2,3,8,2,0,3,1
"me.umov.refill.persistence.ArrayAsListTypeTest",40,3,3,3,12,0,0,0,1
"me.umov.refill.builder.widget.CustomEntitiesRowActionFactoryTest",40,3,3,3,13,8,0,8,0
"me.umov.refill.builder.widget.TasksWithoutCheckOutDataBuilder",39,6,1,6,11,2,0,3,0
"me.umov.refill.builder.widget.AgentsManagementDataBuilder",39,6,1,6,10,2,1,3,0
"me.umov.refill.builder.widget.TeamsManagementDataBuilder",39,6,1,6,10,2,1,3,0
"me.umov.refill.core.ShutdownSignerTest",39,3,3,3,8,0,0,0,3
"me.umov.refill.geo.CabralGeoProcessor",39,3,2,6,8,2,1,4,1
"me.umov.refill.injection.TransactionManager",38,7,3,13,3,0,3,1,1
"me.umov.refill.model.builder.TableDataBuilder",38,7,6,7,6,3,2,3,1
"me.umov.refill.builder.widget.MapTaskExecutionDataBuilderTest",38,5,5,5,9,0,0,0,1
"me.umov.refill.builder.map.AgentTrackingMapDataBuilder",38,3,0,7,7,2,2,6,3
"me.umov.refill.builder.widget.customtable.TableColumnDataBuilderTest",38,2,2,2,13,4,0,4,3
"me.umov.refill.serialization.GraphicDataRowSerializer",38,2,1,9,9,1,1,5,0
"me.umov.refill.core.GraphicRemovalManagerTest",37,4,3,4,8,1,0,3,2
"me.umov.refill.builder.chart.ChartDataBuilder",37,3,1,7,11,5,1,7,1
"me.umov.refill.fixture.RouteFixture",36,8,8,8,3,2,7,3,1
"me.umov.refill.model.ScheduleDBViewEnvironment",36,6,6,7,4,0,2,1,4
"me.umov.refill.builder.widget.AverageExecutedTasksPerAgentDataBuilder",36,4,1,4,17,0,0,1,0
"me.umov.refill.builder.widget.VisitedLocalsDataBuilder",36,4,1,4,17,0,0,1,0
"me.umov.refill.service.RouteDataServiceTest",36,2,2,2,15,4,0,4,3
"me.umov.refill.geo.DirectionsService",36,2,1,2,13,1,0,3,1
"me.umov.refill.builder.widget.AgentPerformanceDataBuilder",34,5,1,5,7,2,0,3,0
"me.umov.refill.injection.SessionFactoryManagerTest",34,4,4,4,7,0,0,0,3
"me.umov.refill.serialization.Serializer",34,4,4,4,9,3,12,4,3
"me.umov.refill.persistence.RouteResultTransformer",34,2,2,7,4,2,2,3,2
"me.umov.refill.model.OnlineFilterOption",33,8,8,8,1,0,6,0,3
"me.umov.refill.fixture.FieldFixture",33,7,7,7,3,1,7,1,1
"me.umov.refill.builder.widget.TaskExecutionGaugeDataBuilder",33,5,1,5,7,1,0,2,0
"me.umov.refill.builder.widget.AgentTasksBySituationTable",33,4,1,4,7,1,0,2,0
"me.umov.refill.dao.ScheduleDBViewEnvironmentDaoTest",33,2,2,2,10,1,0,2,1
"me.umov.refill.fixture.CustomColumnsFixture",32,7,7,7,2,2,6,2,1
"me.umov.refill.types.RouteTransportModeTest",32,6,6,6,2,0,0,0,0
"me.umov.refill.builder.widget.AbstractTableDataBuilder",32,6,1,6,11,5,22,7,0
"me.umov.refill.builder.widget.DailyExecutedActivitiesDataBuilder",32,5,1,5,7,2,0,3,0
"me.umov.refill.builder.widget.CustomHistoryTableDataBuilderTest",32,2,2,2,13,2,0,2,2
"me.umov.refill.dao.GraphicDataDao",31,6,6,6,10,7,2,8,0
"me.umov.refill.validator.MarkerValidatorTest",31,4,4,4,5,2,0,2,1
"me.umov.refill.builder.widget.AgentsWithLessBatteryDataBuilder",31,4,1,4,12,1,0,2,0
"me.umov.refill.builder.widget.PeopleWithExecutedTasksDataBuilder",30,5,1,5,6,1,0,2,0
"me.umov.refill.builder.widget.LocalsWithTasksDataBuilder",30,5,1,5,6,1,0,2,0
