"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.centerweb.controller.ExportLayoutPopupController",276,30,22,54,38,20,0,24,10
"br.com.trevisantecnologia.centerweb.eca.connector.Connector",275,32,11,60,48,23,8,31,11
"br.com.trevisantecnologia.centerweb.service.AbstractServiceTest",275,30,30,28,47,14,0,15,15
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleHibernateDaoImplTest",273,25,24,25,38,11,0,14,1
"br.com.trevisantecnologia.centerweb.api.service.ApiActivityHistoryCreationService",273,19,1,74,28,7,2,11,10
"br.com.trevisantecnologia.centerweb.service.GeoCoordinateService",272,22,12,73,20,8,4,13,8
"br.com.trevisantecnologia.centerweb.model.Message",271,42,42,49,36,0,10,2,21
"br.com.trevisantecnologia.centerweb.fixture.ConnectorFixture",268,57,57,58,13,1,6,2,2
"br.com.trevisantecnologia.centerweb.controller.GraphicController",268,28,21,51,39,12,1,16,10
"br.com.trevisantecnologia.centerweb.helper.FieldCustomSettingViewHelper",268,23,13,59,22,2,6,14,5
"br.com.trevisantecnologia.centerweb.model.schedule.notification.ScheduleNotification",267,46,45,57,31,3,7,6,20
"br.com.trevisantecnologia.centerweb.controller.WorkspaceController",266,23,9,53,31,11,0,13,9
"br.com.trevisantecnologia.centerweb.controller.DashboardControllerTest",263,15,15,15,44,15,0,17,12
"br.com.trevisantecnologia.centerweb.model.ViewActivityHistory",259,62,62,62,4,0,0,0,31
"br.com.trevisantecnologia.centerweb.util.ExecutionUtils",259,22,8,78,24,15,1,19,0
"br.com.trevisantecnologia.centerweb.model.Media",256,44,42,55,29,0,28,5,16
"br.com.trevisantecnologia.centerweb.api.internal.controller.ApiTaskControllerTest",256,28,24,28,34,15,0,18,20
"br.com.trevisantecnologia.centerweb.dao.impl.CustomFieldHibernateDaoImplTest",256,20,20,20,25,5,0,7,1
"br.com.trevisantecnologia.centerweb.service.IdiomEntryService",252,23,20,45,21,10,16,17,5
"br.com.trevisantecnologia.centerweb.controller.EventControllerTest",252,15,15,15,37,15,0,16,11
"br.com.trevisantecnologia.centerweb.fixture.ActivityFixture",245,51,49,52,19,11,39,12,1
"br.com.trevisantecnologia.centerweb.model.Partner",245,47,47,47,15,0,22,3,24
"br.com.trevisantecnologia.centerweb.controller.ImportLayoutControllerTest",245,22,22,22,42,14,0,15,8
"br.com.trevisantecnologia.centerweb.model.Field",244,48,47,53,25,0,7,2,24
"br.com.trevisantecnologia.centerweb.api.controller.ApiCustomEntityEntryControllerTest",243,21,21,21,30,10,0,12,7
"br.com.trevisantecnologia.centerweb.model.Limit",239,55,55,55,7,0,33,1,30
"br.com.trevisantecnologia.centerweb.service.SectionServiceTest",239,26,26,26,29,13,0,13,7
"br.com.trevisantecnologia.centerweb.dao.impl.SectionFieldHibernateDaoImpl",239,25,21,54,15,4,0,8,0
"br.com.trevisantecnologia.centerweb.controller.GraphicControllerTest",238,17,17,17,55,26,0,26,16
"br.com.trevisantecnologia.centerweb.controller.ExportLayoutPopupControllerTest",237,18,18,18,54,23,0,25,18
"br.com.trevisantecnologia.centerweb.serialization.ActivityHierarchicalViewConverterTest",236,46,35,46,28,20,0,21,20
"br.com.trevisantecnologia.centerweb.api.batch.service.AbstractApiBatchService",235,36,5,73,30,18,3,28,3
"br.com.trevisantecnologia.centerweb.service.GraphicGroupServiceTest",235,23,23,23,41,10,0,10,12
"br.com.trevisantecnologia.centerweb.fixture.CustomFieldFixture",234,55,55,56,30,3,59,4,2
"br.com.trevisantecnologia.centerweb.controller.TeamControllerTest",234,21,21,21,45,20,0,20,12
"br.com.trevisantecnologia.centerweb.model.Team",232,39,39,39,32,2,53,6,19
"br.com.trevisantecnologia.centerweb.api.interceptor.ApiAccessInterceptorTest",232,21,18,21,36,11,0,15,13
"br.com.trevisantecnologia.centerweb.model.ScheduledAbsence",231,36,36,40,31,0,6,3,17
"br.com.trevisantecnologia.centerweb.service.AgentTeamServiceTest",230,26,26,27,25,10,0,10,7
"br.com.trevisantecnologia.centerweb.controller.ServiceLocalActivityController",229,25,19,26,30,18,0,22,14
"br.com.trevisantecnologia.centerweb.controller.ExporterController",228,20,9,51,33,12,0,17,6
"br.com.trevisantecnologia.centerweb.fixture.ServiceLocalFixture",227,43,43,45,14,8,32,11,3
"br.com.trevisantecnologia.centerweb.api.service.ApiScheduleRoutingService",227,21,2,60,24,7,1,9,12
"br.com.trevisantecnologia.centerweb.factory.ActivityExportLayoutTest",226,23,21,23,31,14,0,17,9
"br.com.trevisantecnologia.centerweb.service.SystemParametersServiceTest",223,13,13,14,35,8,0,10,6
"br.com.trevisantecnologia.centerweb.service.ImporterServiceTest",222,25,19,28,34,12,0,13,16
"br.com.trevisantecnologia.centerweb.service.ItineraryServiceTest",221,21,21,21,40,13,0,13,16
"br.com.trevisantecnologia.centerweb.api.controller.AbstractApiController",219,24,1,40,39,14,30,21,5
"br.com.trevisantecnologia.centerweb.model.ConfigField",218,54,54,56,8,0,21,2,25
"br.com.trevisantecnologia.centerweb.business.MediaValidatorTest",218,27,24,27,20,8,0,10,5
"br.com.trevisantecnologia.centerweb.business.CustomFieldValueValidator",218,24,1,65,34,17,4,21,4
"br.com.trevisantecnologia.centerweb.api.controller.ApiCustomFieldController",217,25,10,32,20,9,0,12,4
"br.com.trevisantecnologia.centerweb.service.ScheduleGroupingSettingsOnMobileService",216,27,3,46,18,8,1,14,6
"br.com.trevisantecnologia.centerweb.service.SectionItemServiceTest",214,19,19,20,27,10,0,13,5
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionService",214,14,11,53,27,16,3,17,1
"br.com.trevisantecnologia.centerweb.controller.ItemController",213,20,16,27,25,9,0,15,15
"br.com.trevisantecnologia.centerweb.model.ScheduleType",212,35,35,43,27,0,18,2,16
"br.com.trevisantecnologia.centerweb.service.ClientService",212,30,19,47,14,9,46,13,11
"br.com.trevisantecnologia.centerweb.service.ItemService",212,28,17,55,16,8,19,12,10
"br.com.trevisantecnologia.centerweb.controller.ItemControllerTest",212,19,19,19,23,4,0,6,23
"br.com.trevisantecnologia.centerweb.fixture.SectionFixture",211,43,42,47,9,1,32,2,1
"br.com.trevisantecnologia.centerweb.dao.impl.CustomFieldHibernateDaoImpl",211,26,19,38,23,5,0,11,0
"br.com.trevisantecnologia.centerweb.service.ServiceLocalActivityService",210,28,24,46,18,9,8,14,10
"br.com.trevisantecnologia.centerweb.validation.CustomBeanValidator",210,26,15,59,25,4,71,13,3
"br.com.trevisantecnologia.centerweb.fixture.AppearanceFixture",208,41,39,41,9,2,8,3,1
"br.com.trevisantecnologia.centerweb.restriction.PermissionRestrictionCheckerTest",208,39,37,39,16,2,0,6,2
"br.com.trevisantecnologia.centerweb.types.DataTypeTest",208,38,33,38,25,1,0,4,0
"br.com.trevisantecnologia.centerweb.model.Workday",207,31,31,40,17,0,21,2,12
"br.com.trevisantecnologia.centerweb.service.AuthenticationService",206,30,9,47,23,7,10,9,8
"br.com.trevisantecnologia.centerweb.service.CustomEntityServiceTest",205,24,24,24,30,9,0,10,5
"br.com.trevisantecnologia.centerweb.business.AgentValidatorTest",205,23,23,23,33,10,0,10,7
"br.com.trevisantecnologia.centerweb.service.ExportLayoutFieldService",204,25,16,44,32,12,6,17,4
"br.com.trevisantecnologia.centerweb.dao.impl.ServiceLocalHibernateDaoImpl",204,19,8,40,30,2,0,8,1
"br.com.trevisantecnologia.centerweb.model.LogicalExpression",203,42,42,43,11,0,15,4,21
"br.com.trevisantecnologia.centerweb.service.CustomEntityEntryService",203,27,20,43,28,18,11,22,5
"br.com.trevisantecnologia.centerweb.dao.SessionFactoryRule",203,12,6,11,11,3,3,6,3
"br.com.trevisantecnologia.centerweb.util.Miscelaneous",202,28,19,56,9,0,33,8,0
"br.com.trevisantecnologia.centerweb.controller.MacroController",202,18,7,34,37,6,0,8,3
"br.com.trevisantecnologia.centerweb.model.ScheduleExport",200,39,39,43,22,0,9,1,20
"br.com.trevisantecnologia.centerweb.controller.CustomFieldControllerTest",200,23,23,23,32,8,0,8,5
"br.com.trevisantecnologia.centerweb.api.internal.controller.APITaskController",200,15,7,32,32,16,2,19,12
"br.com.trevisantecnologia.centerweb.service.ActivityExecutionServiceTest",199,19,13,19,29,16,0,17,7
"br.com.trevisantecnologia.centerweb.serialization.converter.itinerary.WeekdaysItineraryConverterTest",197,32,25,34,21,6,0,9,2
"br.com.trevisantecnologia.centerweb.service.GraphicServiceTest",197,14,14,14,34,11,0,11,16
"br.com.trevisantecnologia.centerweb.controller.ContactUsControllerTest",196,15,15,15,34,14,0,15,12
"br.com.trevisantecnologia.centerweb.model.ServiceLocalActivity",193,33,32,34,18,2,15,6,13
