"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.centerweb.util.LocalizedMessages.configure()",51,9,44,2,0
"br.com.trevisantecnologia.centerweb.service.FieldServiceTest.shouldRetriveDefaultAndCustomAndAnnotatedExpressionFieldsForMathFormulaWhenFieldTypeNumericServiceLocal()",46,9,110,2,0
"br.com.trevisantecnologia.centerweb.controller.GraphicController.form(Graphic graphic)",41,9,35,2,1
"br.com.trevisantecnologia.centerweb.service.ConnectorService.save(Connector connector)",35,9,16,2,1
"br.com.trevisantecnologia.centerweb.controller.SystemParametersController.validateGPS(SystemParameters entityToValidate)",30,9,20,2,1
"br.com.trevisantecnologia.centerweb.serialization.APIScheduleConverter.unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context)",30,9,13,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleItemHibernateDaoImpl.filterSelectedItems(final Long scheduleId, final ScheduleItem filter)",29,9,36,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.ServiceLocalItemHibernateDaoImpl.filterSelectedItems(final Long serviceLocalId, final ServiceLocalItem filter)",29,9,36,2,2
"br.com.trevisantecnologia.centerweb.util.JpegReader.convertYcckToCmyk(WritableRaster raster)",28,9,4,2,1
"br.com.trevisantecnologia.centerweb.helper.ActivityHistoryItemHelper.groupByItem(List<ActivityHistoryItem> historyItems)",27,9,21,2,1
"br.com.trevisantecnologia.centerweb.controller.EventController.form(Event event)",24,9,25,2,1
"br.com.trevisantecnologia.centerweb.service.LogicalExpressionService.getMomentList(Long objectType, SectionField sectionField)",22,9,21,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.AgentHibernateDaoImpl.filterGraphicAgents(Agent filter, Criteria criteria)",19,9,26,2,2
"br.com.trevisantecnologia.centerweb.controller.ItineraryController.validateSlaveRelation(Itinerary itinerary)",9,9,12,2,1
"br.com.trevisantecnologia.centerweb.validation.GeoCoordinateValidator.isValidGeoCoordinate(Double lat, Double lng)",14,9,0,1,2
"br.com.trevisantecnologia.centerweb.api.controller.ApiClosestAgentRequestController.isValid(ClosestAgentRequest closestAgentRequest)",13,9,17,1,1
"br.com.trevisantecnologia.centerweb.model.ScheduleType.checkStoreNonconformities()",5,9,0,1,0
"br.com.trevisantecnologia.centerweb.business.schedule.TeamExecutionRule.validateRule(Schedule schedule)",14,9,9,0,1
"br.com.trevisantecnologia.centerweb.util.EntityModelUtils.areEquals(T modelOne, T modelTwo)",14,9,7,0,2
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController.getCurrentEditableFields(final Long sectionId, final Long itemId)",33,8,26,8,2
"br.com.trevisantecnologia.centerweb.controller.ActivityExecutionController.setFieldValueToSession(final Long sectionId, final Long itemId, final Long fieldId, final String fieldValue)",26,8,16,8,4
"br.com.trevisantecnologia.centerweb.util.ExecutionUtils.setItem(final ExecutionSection executionSection, final ActivityHistoryItem historyItem)",21,8,19,7,2
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.saveResource(ServiceLocal local)",33,8,26,5,1
"br.com.trevisantecnologia.centerweb.service.ScheduleService.validateItems(Schedule schedule)",29,8,21,5,1
"br.com.trevisantecnologia.centerweb.service.ActivityHistoryService.setNowVisibleFields(ActivityHistory activityHistory, ExecutionValidationStatus status)",28,8,25,5,2
"br.com.trevisantecnologia.centerweb.controller.ServiceLocalController.verifyCoordinateInconsistency(ServiceLocal serviceLocal)",27,8,15,5,1
"br.com.trevisantecnologia.centerweb.service.ServiceLocalService.verifyCoordinatesPrecision(ServiceLocal serviceLocal)",25,8,11,5,1
"br.com.trevisantecnologia.centerweb.validation.CustomBeanValidator.checkFileField(Field field, Object instance, List<Message> errors)",23,8,13,5,3
"br.com.trevisantecnologia.centerweb.service.ScheduleService.validateAgentLocalPortfolio(Schedule schedule)",15,8,14,5,1
"br.com.trevisantecnologia.centerweb.controller.ServiceLocalController.verifyValueTimeFieldIsValid(List<CustomField> customFields)",14,8,13,5,1
"br.com.trevisantecnologia.centerweb.service.SectionItemService.addBoundSectionItems(final List<SectionItem> previousSectionItems, final Map<Long,Boolean> sectionItemInfo, final Item item)",32,8,20,4,3
"br.com.trevisantecnologia.centerweb.interceptor.AuthenticationInterceptor.doIntercept(final InterceptorStack stack, final ResourceMethod method, final Object resource)",31,8,19,4,3
"br.com.trevisantecnologia.centerweb.service.SectionItemService.setDefaultValues(Long id, SectionItem sectionItem)",28,8,22,4,2
"br.com.trevisantecnologia.centerweb.service.FieldService.validateSize(Field field, AjaxResponse response)",20,8,19,4,2
"br.com.trevisantecnologia.centerweb.service.SectionFieldService.getFirstActivityReferencedOnExpressions(List<MathExpression> mathExpressions, List<LogicalExpression> logicalExpressions, Long sectionFieldId)",15,8,19,4,3
"br.com.trevisantecnologia.centerweb.service.SectionFieldService.getFirstSectionReferencedOnExpressions(List<MathExpression> mathExpressions, List<LogicalExpression> logicalExpressions, Long sectionFieldId)",15,8,19,4,3
"br.com.trevisantecnologia.centerweb.service.GeoCoordinateService.activityHistoryIsValid(GeoCoordinate resource)",13,8,12,4,1
"br.com.trevisantecnologia.centerweb.controller.SectionFieldController.form(SectionField sectionField, Long sectionId)",37,8,58,3,2
"br.com.trevisantecnologia.centerweb.service.AgentService.validate(Agent agent)",30,8,16,3,1
"br.com.trevisantecnologia.centerweb.controller.ActivityController.bindRelation(Activity activity)",26,8,33,3,1
"br.com.trevisantecnologia.centerweb.controller.SectionFieldController.createLibraryField(SectionField sectionField, String[] listItems, AjaxResponse response)",25,8,20,3,3
"br.com.trevisantecnologia.centerweb.controller.ActivityController.validateActivityTakePictures(Activity activity)",22,8,19,3,1
"br.com.trevisantecnologia.centerweb.service.FieldServiceTest.shouldRetriveOnlyDefaultAndAnnotatedExpressionFieldsWhenHasNoCustomFields()",46,8,97,2,0
"br.com.trevisantecnologia.centerweb.service.FieldServiceTest.shouldRetriveDefaultAndCustomAndAnnotatedExpressionFieldsForMathFormulaWhenFieldTypeAlphanumericServiceLocal()",41,8,101,2,0
"br.com.trevisantecnologia.centerweb.service.ConnectorService.fillPlatform(Connector connector, PlatformEvent platformEvent)",30,8,14,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.ScheduleItemHibernateDaoImpl.filterAvailableItems(final Long scheduleId, final Object item)",26,8,39,2,2
