"method","loc","cyclo","calls","nbd","param"
"jdepend.textui.JDepend.printSectionBreak()",2,1,2,4,0
"jdepend.swingui.JDepend.getActionForCommand(String command)",2,1,1,4,1
"jdepend.swingui.JDepend.main(String[] args)",2,1,1,4,1
"jdepend.textui.JDepend.main(String args[])",2,1,1,4,1
"jdepend.textui.JDepend.toFormattedString(float f)",2,1,1,4,1
"jdepend.framework.DependencyConstraint.getPackages()",2,1,1,4,0
"jdepend.textui.JDepend.printCycleFooter()",2,1,1,4,0
"jdepend.textui.JDepend.printPackageFooter(JavaPackage jPackage)",2,1,0,4,1
"jdepend.framework.DependencyConstraint.DependencyConstraint()",2,1,0,4,0
"jdepend.textui.JDepend.getWriter()",2,1,0,4,0
"jdepend.textui.JDepend.printAbstractClassesFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printAfferentsFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printConcreteClassesFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printCyclesFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printEfferentsFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printHeader()",2,1,0,4,0
"jdepend.textui.JDepend.printPackagesFooter()",2,1,0,4,0
"jdepend.textui.JDepend.printPackagesHeader()",2,1,0,4,0
"jdepend.textui.JDepend.tab()",2,1,0,4,0
"jdepend.framework.ClassFileParser.parse(InputStream is)",36,1,15,3,1
"jdepend.framework.JDepend.JDepend(PackageFilter filter)",13,1,5,3,1
"jdepend.framework.JavaClassBuilder.countClasses()",11,1,2,3,0
"jdepend.swingui.PackageNode.PackageNode(PackageNode parent, JavaPackage jPackage)",11,1,0,3,2
"jdepend.framework.ClassFileParser.reset()",11,1,0,3,0
"jdepend.framework.ClassFileParser.parseClassName()",10,1,8,3,0
"jdepend.framework.ClassFileParser.parseAccessFlags()",10,1,3,3,0
"jdepend.swingui.PackageNode.isChild(JavaPackage jPackage)",10,1,0,3,1
"jdepend.framework.JDepend.dependencyMatch(DependencyConstraint constraint)",9,1,2,3,1
"jdepend.framework.JDepend.addDirectory(String name)",9,1,1,3,1
"jdepend.swingui.DependTreeModel.valueForPathChanged(TreePath path, Object newValue)",9,1,0,3,2
"jdepend.swingui.PackageNode.makeNode(PackageNode parent, JavaPackage jPackage)",9,1,0,3,2
"jdepend.swingui.DependTreeModel.DependTreeModel(PackageNode root)",9,1,0,3,1
"jdepend.framework.ClassFileParser.parseSuperClassName()",8,1,5,3,0
"jdepend.framework.JDepend.analyzeInnerClasses(boolean b)",8,1,1,3,1
"jdepend.framework.JDepend.getPackage(String name)",8,1,1,3,1
"jdepend.framework.PropertyConfigurator.PropertyConfigurator(File f)",8,1,1,3,1
"jdepend.framework.FileManager.acceptInnerClasses(boolean b)",8,1,0,3,1
"jdepend.framework.PropertyConfigurator.PropertyConfigurator(Properties p)",8,1,0,3,1
"jdepend.swingui.DependTreeModel.getRoot()",8,1,0,3,0
"jdepend.framework.JDepend.countPackages()",7,1,2,3,0
"jdepend.framework.JDepend.addParseListener(ParserListener listener)",7,1,1,3,1
"jdepend.swingui.DependTreeModel.removeTreeModelListener(TreeModelListener l)",7,1,1,3,1
"jdepend.framework.JDepend.countClasses()",7,1,1,3,0
"jdepend.framework.JDepend.getPackages()",7,1,1,3,0
"jdepend.framework.PropertyConfigurator.PropertyConfigurator()",7,1,1,3,0
"jdepend.swingui.PackageNode.getPackage()",7,1,0,3,0
"jdepend.swingui.PackageNode.getParent()",7,1,0,3,0
"jdepend.framework.ClassFileParser.addAnnotationReferences(AttributeInfo annotation)",6,1,2,3,1
"jdepend.swingui.PackageNode.getCoupledPackages()",6,1,0,3,0
"jdepend.framework.ClassFileParser$Constant.Constant(byte tag, int nameIndex, int typeIndex)",5,1,0,3,3
"jdepend.framework.ClassFileParser$FieldOrMethodInfo.FieldOrMethodInfo(int accessFlags, int nameIndex, int descriptorIndex)",5,1,0,3,3
"jdepend.framework.FileManager.existsWithExtension(File file, String extension)",3,1,4,3,2
"jdepend.framework.ClassFileParser.ClassFileParser(PackageFilter filter)",3,1,1,3,1
"jdepend.framework.PropertyConfigurator.getDefaultPropertyFile()",3,1,1,3,0
"jdepend.framework.ClassFileParser$Constant.Constant(byte tag, Object value)",3,1,0,3,2
"jdepend.framework.JavaClassBuilder.JavaClassBuilder(AbstractParser parser, FileManager fm)",3,1,0,3,2
"jdepend.framework.FileManager.FileManager()",3,1,0,3,0
"jdepend.framework.FileManager.acceptJarFile(File file)",2,1,3,3,1
"jdepend.framework.FileManager.acceptFile(File file)",2,1,2,3,1
"jdepend.framework.ClassFileParser.slashesToDots(String s)",2,1,1,3,1
